,Date,Wind_m/s,Precipitation_mm,Wind_m/s1,Precipitation_mm1,Target: Mean_temp
93,2017.10.03,4.3,6.1,5.3,0.0,13.100000000000001
94,2017.10.04,6.9,0.0,4.3,6.1,15.05
95,2017.10.05,9.9,0.0,6.9,0.0,12.7
96,2017.10.06,7.7,0.0,9.9,0.0,11.55
97,2017.10.07,6.4,0.0,7.7,0.0,10.8
98,2017.10.08,7.6,0.1,6.4,0.0,11.35
99,2017.10.09,5.4,0.1,7.6,0.1,12.1
100,2017.10.10,4.5,0.2,5.4,0.1,14.2
101,2017.10.11,4.5,0.4,4.5,0.2,14.25
102,2017.10.12,5.0,0.0,4.5,0.4,14.3
103,2017.10.13,5.4,0.0,5.0,0.0,13.7
104,2017.10.14,3.1,0.0,5.4,0.0,14.75
105,2017.10.15,2.8,0.0,3.1,0.0,15.35
106,2017.10.16,2.0,0.0,2.8,0.0,15.5
107,2017.10.17,2.9,0.0,2.0,0.0,15.65
108,2017.10.18,3.0,0.0,2.9,0.0,13.4
109,2017.10.19,2.0,0.0,3.0,0.0,13.549999999999999
110,2017.10.20,2.3,0.0,2.0,0.0,12.299999999999999
111,2017.10.21,2.0,0.0,2.3,0.0,12.5
112,2017.10.22,4.8,5.8,2.0,0.0,9.95
113,2017.10.23,7.3,44.8,4.8,5.8,9.05
114,2017.10.24,6.8,0.0,7.3,44.8,7.5
115,2017.10.25,3.6,0.2,6.8,0.0,10.7
116,2017.10.26,3.8,0.0,3.6,0.2,11.7
117,2017.10.27,8.4,1.3,3.8,0.0,8.05
118,2017.10.28,8.1,0.2,8.4,1.3,7.8
119,2017.10.29,14.4,8.5,8.1,0.2,6.1
120,2017.10.30,9.1,0.1,14.4,8.5,5.65
121,2017.10.31,6.1,0.0,9.1,0.1,5.25
122,2017.11.01,4.1,0.0,6.1,0.0,7.4
123,2017.11.02,5.0,0.0,4.1,0.0,7.65
124,2017.11.03,5.6,0.1,5.0,0.0,6.3500000000000005
125,2017.11.04,3.4,0.0,5.6,0.1,8.3
126,2017.11.05,4.5,0.7,3.4,0.0,9.25
127,2017.11.06,5.6,0.1,4.5,0.7,7.05
128,2017.11.07,5.0,1.9,5.6,0.1,8.3
129,2017.11.08,4.4,1.9,5.0,1.9,8.4
130,2017.11.09,3.2,2.1,4.4,1.9,5.85
131,2017.11.10,3.4,0.8,3.2,2.1,7.55
132,2017.11.11,4.7,0.3,3.4,0.8,7.0
133,2017.11.12,6.5,5.3,4.7,0.3,7.1
134,2017.11.13,6.3,13.8,6.5,5.3,4.95
135,2017.11.14,5.3,3.6,6.3,13.8,1.3499999999999999
136,2017.11.15,2.9,0.0,5.3,3.6,3.5500000000000003
137,2017.11.16,2.2,0.0,2.9,0.0,3.0500000000000003
138,2017.11.17,2.6,0.1,2.2,0.0,2.65
139,2017.11.18,4.7,5.0,2.6,0.1,3.0
140,2017.11.19,4.5,0.7,4.7,5.0,4.050000000000001
141,2017.11.20,6.9,0.5,4.5,0.7,4.65
142,2017.11.21,7.6,2.0,6.9,0.5,6.05
143,2017.11.22,4.4,0.6,7.6,2.0,4.1000000000000005
144,2017.11.23,2.2,0.2,4.4,0.6,5.1
145,2017.11.24,2.4,0.2,2.2,0.2,6.95
146,2017.11.25,6.1,0.5,2.4,0.2,4.3
147,2017.11.26,7.7,8.7,6.1,0.5,2.35
148,2017.11.27,6.6,0.0,7.7,8.7,0.7000000000000002
149,2017.11.28,3.4,0.0,6.6,0.0,0.050000000000000044
150,2017.11.29,5.3,3.2,3.4,0.0,2.25
151,2017.11.30,7.7,23.5,5.3,3.2,-0.3999999999999999
152,2017.12.01,3.8,0.0,7.7,23.5,-3.0
153,2017.12.02,2.8,0.1,3.8,0.0,-3.4499999999999997
154,2017.12.03,3.8,0.2,2.8,0.1,-1.1
155,2017.12.04,6.4,0.6,3.8,0.2,1.15
156,2017.12.05,6.4,0.3,6.4,0.6,1.5999999999999999
157,2017.12.06,7.4,0.0,6.4,0.3,1.0
158,2017.12.07,4.6,0.0,7.4,0.0,2.3499999999999996
159,2017.12.08,8.3,12.0,4.6,0.0,1.3
160,2017.12.09,8.4,1.0,8.3,12.0,-0.1499999999999999
161,2017.12.10,9.1,1.2,8.4,1.0,6.35
162,2017.12.11,8.9,5.9,9.1,1.2,11.85
163,2017.12.12,8.7,3.8,8.9,5.9,2.95
164,2017.12.13,5.8,2.0,8.7,3.8,1.85
165,2017.12.14,5.6,5.5,5.8,2.0,5.85
166,2017.12.15,7.0,27.6,5.6,5.5,3.2
167,2017.12.16,4.7,3.8,7.0,27.6,0.3500000000000001
168,2017.12.17,5.5,0.0,4.7,3.8,-2.25
169,2017.12.18,2.2,0.2,5.5,0.0,-3.3
170,2017.12.19,2.1,0.2,2.2,0.2,-4.8
171,2017.12.20,2.0,0.2,2.1,0.2,-5.300000000000001
172,2017.12.21,3.6,0.6,2.0,0.2,0.7999999999999999
173,2017.12.22,5.7,0.0,3.6,0.6,0.8999999999999999
174,2017.12.23,7.5,0.2,5.7,0.0,5.3
175,2017.12.24,8.6,0.2,7.5,0.2,1.8
176,2017.12.25,4.7,0.0,8.6,0.2,3.8499999999999996
177,2017.12.26,6.7,0.1,4.7,0.0,4.9
178,2017.12.27,7.2,0.0,6.7,0.1,4.75
179,2017.12.28,7.5,7.0,7.2,0.0,0.29999999999999993
180,2017.12.29,9.5,0.4,7.5,7.0,-1.15
181,2017.12.30,5.3,0.2,9.5,0.4,2.0500000000000003
182,2017.12.31,5.0,3.9,5.3,0.2,4.3
183,2018.01.01,5.0,0.3,5.0,3.9,3.0
184,2018.01.02,7.8,8.7,5.0,0.3,1.5499999999999998
185,2018.01.03,7.4,6.1,7.8,8.7,5.25
186,2018.01.04,6.2,0.3,7.4,6.1,5.75
187,2018.01.05,3.5,1.1,6.2,0.3,9.45
188,2018.01.06,4.7,0.4,3.5,1.1,6.8
189,2018.01.07,3.2,0.1,4.7,0.4,7.0
190,2018.01.08,4.0,0.3,3.2,0.1,6.050000000000001
191,2018.01.09,5.5,0.0,4.0,0.3,4.550000000000001
192,2018.01.10,6.3,1.3,5.5,0.0,4.5
193,2018.01.11,3.0,3.1,6.3,1.3,3.5999999999999996
194,2018.01.12,3.9,4.0,3.0,3.1,0.85
195,2018.01.13,7.6,2.6,3.9,4.0,-2.0
196,2018.01.14,5.0,3.6,7.6,2.6,-3.8
197,2018.01.15,2.9,0.9,5.0,3.6,-1.2000000000000002
198,2018.01.16,5.4,2.7,2.9,0.9,-0.8500000000000001
199,2018.01.17,8.4,0.0,5.4,2.7,1.25
200,2018.01.18,7.3,0.3,8.4,0.0,2.15
201,2018.01.19,7.1,1.2,7.3,0.3,-0.4999999999999998
202,2018.01.20,3.8,0.1,7.1,1.2,0.0
203,2018.01.21,9.4,6.2,3.8,0.1,-1.0499999999999998
204,2018.01.22,7.1,0.0,9.4,6.2,-4.3
205,2018.01.23,2.0,0.7,7.1,0.0,-7.4
206,2018.01.24,2.8,0.3,2.0,0.7,-2.25
207,2018.01.25,4.6,1.4,2.8,0.3,-2.4499999999999997
208,2018.01.26,3.8,0.0,4.6,1.4,-1.15
209,2018.01.27,3.0,0.1,3.8,0.0,0.55
210,2018.01.28,3.7,0.1,3.0,0.1,4.7
211,2018.01.29,4.8,0.1,3.7,0.1,2.8499999999999996
212,2018.01.30,7.8,0.0,4.8,0.1,1.25
213,2018.01.31,4.1,0.1,7.8,0.0,6.050000000000001
214,2018.02.01,7.4,6.9,4.1,0.1,6.35
215,2018.02.02,4.7,7.5,7.4,6.9,1.3
216,2018.02.03,7.6,13.5,4.7,7.5,0.25
217,2018.02.04,6.9,0.0,7.6,13.5,-1.2500000000000002
218,2018.02.05,1.7,0.1,6.9,0.0,-0.9
219,2018.02.06,4.2,1.6,1.7,0.1,-0.5
220,2018.02.07,5.7,3.6,4.2,1.6,1.45
221,2018.02.08,4.8,7.4,5.7,3.6,-0.7
222,2018.02.09,3.6,0.4,4.8,7.4,-0.55
223,2018.02.10,2.1,0.6,3.6,0.4,-1.4500000000000002
224,2018.02.11,2.0,0.2,2.1,0.6,-0.10000000000000009
225,2018.02.12,2.0,0.2,2.0,0.2,0.30000000000000004
226,2018.02.13,5.0,1.1,2.0,0.2,0.35
227,2018.02.14,4.5,2.8,5.0,1.1,-1.2499999999999998
228,2018.02.15,2.0,0.1,4.5,2.8,-2.3
229,2018.02.16,2.1,1.0,2.0,0.1,-0.30000000000000004
230,2018.02.17,3.6,2.3,2.1,1.0,-0.5
231,2018.02.18,3.2,5.2,3.6,2.3,-4.15
232,2018.02.19,3.8,1.6,3.2,5.2,-0.35000000000000003
233,2018.02.20,4.3,8.6,3.8,1.6,0.39999999999999997
234,2018.02.21,4.5,3.9,4.3,8.6,-1.3
235,2018.02.22,6.2,2.3,4.5,3.9,-0.75
236,2018.02.23,4.4,0.2,6.2,2.3,-4.7
237,2018.02.24,6.2,1.4,4.4,0.2,-9.25
238,2018.02.25,5.7,0.0,6.2,1.4,-8.7
239,2018.02.26,6.9,0.8,5.7,0.0,-8.45
240,2018.02.27,6.6,1.9,6.9,0.8,-9.8
241,2018.02.28,3.9,0.2,6.6,1.9,-10.15
242,2018.03.01,4.3,0.7,3.9,0.2,-8.1
243,2018.03.02,4.7,2.5,4.3,0.7,-8.95
244,2018.03.03,3.5,0.1,4.7,2.5,-10.100000000000001
245,2018.03.04,4.0,0.1,3.5,0.1,-9.899999999999999
246,2018.03.05,4.0,0.4,4.0,0.1,-0.09999999999999998
247,2018.03.06,4.7,6.3,4.0,0.4,1.7
248,2018.03.07,2.9,0.2,4.7,6.3,1.8000000000000003
249,2018.03.08,3.8,1.8,2.9,0.2,3.6500000000000004
250,2018.03.09,3.5,0.0,3.8,1.8,5.5
251,2018.03.10,5.2,0.5,3.5,0.0,8.600000000000001
252,2018.03.11,5.6,3.6,5.2,0.5,11.4
253,2018.03.12,7.2,7.3,5.6,3.6,9.35
254,2018.03.13,5.9,2.9,7.2,7.3,8.1
255,2018.03.14,7.0,0.2,5.9,2.9,7.3
256,2018.03.15,4.4,2.5,7.0,0.2,8.05
257,2018.03.16,6.0,18.6,4.4,2.5,3.1999999999999997
258,2018.03.17,6.5,1.5,6.0,18.6,-2.5500000000000003
259,2018.03.18,10.4,13.4,6.5,1.5,-2.95
260,2018.03.19,3.6,1.1,10.4,13.4,-2.05
261,2018.03.20,5.5,1.6,3.6,1.1,-0.3500000000000001
262,2018.03.21,5.4,0.7,5.5,1.6,-2.5
263,2018.03.22,2.2,0.0,5.4,0.7,0.0
264,2018.03.23,2.1,0.0,2.2,0.0,1.4
265,2018.03.24,3.8,0.0,2.1,0.0,2.0999999999999996
266,2018.03.25,5.7,0.0,3.8,0.0,3.25
267,2018.03.26,2.6,0.0,5.7,0.0,5.6000000000000005
268,2018.03.27,4.9,0.0,2.6,0.0,4.95
269,2018.03.28,4.1,1.3,4.9,0.0,7.15
270,2018.03.29,4.8,1.8,4.1,1.3,8.05
271,2018.03.30,4.1,5.4,4.8,1.8,10.8
272,2018.03.31,7.1,5.1,4.1,5.4,8.4
273,2018.04.01,9.7,0.2,7.1,5.1,8.2
274,2018.04.02,9.5,0.1,9.7,0.2,10.850000000000001
275,2018.04.03,7.3,0.0,9.5,0.1,13.149999999999999
276,2018.04.04,7.0,0.0,7.3,0.0,14.2
277,2018.04.05,7.4,0.2,7.0,0.0,11.85
278,2018.04.06,7.8,0.0,7.4,0.2,11.65
279,2018.04.07,4.0,0.1,7.8,0.0,13.5
280,2018.04.08,8.0,0.0,4.0,0.1,16.3
281,2018.04.09,6.3,0.6,8.0,0.0,14.049999999999999
282,2018.04.10,6.8,0.0,6.3,0.6,13.0
283,2018.04.11,5.8,0.0,6.8,0.0,16.55
284,2018.04.12,4.8,0.0,5.8,0.0,15.95
285,2018.04.13,4.8,0.6,4.8,0.0,15.85
286,2018.04.14,3.0,0.0,4.8,0.6,18.1
287,2018.04.15,5.2,0.0,3.0,0.0,17.05
288,2018.04.16,5.2,2.3,5.2,0.0,16.4
289,2018.04.17,4.1,4.8,5.2,2.3,17.3
290,2018.04.18,4.3,3.5,4.1,4.8,15.75
291,2018.04.19,5.0,0.0,4.3,3.5,15.2
292,2018.04.20,3.4,0.0,5.0,0.0,14.399999999999999
293,2018.04.21,2.8,0.0,3.4,0.0,16.4
294,2018.04.22,2.5,0.0,2.8,0.0,19.25
295,2018.04.23,4.0,0.7,2.5,0.0,18.55
296,2018.04.24,5.3,2.1,4.0,0.7,18.75
297,2018.04.25,5.1,0.1,5.3,2.1,18.2
298,2018.04.26,7.0,1.2,5.1,0.1,14.649999999999999
299,2018.04.27,5.9,0.0,7.0,1.2,17.75
300,2018.04.28,4.6,2.3,5.9,0.0,19.75
301,2018.04.29,5.8,9.9,4.6,2.3,19.9
302,2018.04.30,5.1,7.7,5.8,9.9,18.75
303,2018.05.01,3.8,0.6,5.1,7.7,19.8
304,2018.05.02,3.9,8.4,3.8,0.6,19.95
305,2018.05.03,4.6,0.0,3.9,8.4,20.8
306,2018.05.04,4.4,1.2,4.6,0.0,23.1
307,2018.05.05,6.2,0.0,4.4,1.2,20.4
308,2018.05.06,6.3,0.0,6.2,0.0,18.9
309,2018.05.07,6.0,0.0,6.3,0.0,16.85
310,2018.05.08,4.7,0.4,6.0,0.0,18.5
311,2018.05.09,2.7,5.2,4.7,0.4,20.45
312,2018.05.10,4.3,3.3,2.7,5.2,19.549999999999997
313,2018.05.11,2.0,1.7,4.3,3.3,19.799999999999997
314,2018.05.12,3.6,0.0,2.0,1.7,17.95
315,2018.05.13,5.3,0.1,3.6,0.0,16.85
316,2018.05.14,5.7,0.0,5.3,0.1,14.8
317,2018.05.15,5.2,8.9,5.7,0.0,13.55
318,2018.05.16,6.5,0.8,5.2,8.9,15.5
319,2018.05.17,7.6,1.5,6.5,0.8,18.25
320,2018.05.18,7.1,1.8,7.6,1.5,17.7
321,2018.05.19,3.9,1.4,7.1,1.8,16.6
322,2018.05.20,4.9,0.0,3.9,1.4,18.2
323,2018.05.21,6.1,0.0,4.9,0.0,17.4
324,2018.05.22,4.8,0.6,6.1,0.0,19.35
325,2018.05.23,3.2,1.3,4.8,0.6,21.15
326,2018.05.24,5.7,0.0,3.2,1.3,20.6
327,2018.05.25,4.8,0.0,5.7,0.0,21.2
328,2018.05.26,2.0,0.0,4.8,0.0,21.1
329,2018.05.27,2.1,4.3,2.0,0.0,21.950000000000003
330,2018.05.28,3.3,0.0,2.1,4.3,21.0
331,2018.05.29,5.2,0.4,3.3,0.0,20.799999999999997
332,2018.05.30,5.4,0.0,5.2,0.4,22.15
333,2018.05.31,3.5,0.0,5.4,0.0,23.25
334,2018.06.01,2.5,0.0,3.5,0.0,22.7
335,2018.06.02,4.0,0.0,2.5,0.0,23.6
336,2018.06.03,5.8,0.0,4.0,0.0,21.85
337,2018.06.04,2.9,2.4,5.8,0.0,22.15
338,2018.06.05,2.1,6.5,2.9,2.4,19.5
339,2018.06.06,6.0,18.7,2.1,6.5,19.799999999999997
340,2018.06.07,5.2,0.9,6.0,18.7,21.1
341,2018.06.08,3.0,26.1,5.2,0.9,20.65
342,2018.06.09,3.1,31.0,3.0,26.1,23.450000000000003
343,2018.06.10,2.4,0.0,3.1,31.0,25.0
344,2018.06.11,3.4,0.0,2.4,0.0,23.45
345,2018.06.12,4.5,9.0,3.4,0.0,21.45
346,2018.06.13,4.3,1.7,4.5,9.0,18.8
347,2018.06.14,4.5,10.8,4.3,1.7,18.6
348,2018.06.15,5.3,6.2,4.5,10.8,21.15
349,2018.06.16,5.9,0.0,5.3,6.2,21.950000000000003
350,2018.06.17,4.3,0.0,5.9,0.0,21.799999999999997
351,2018.06.18,5.1,0.3,4.3,0.0,23.0
352,2018.06.19,3.9,2.7,5.1,0.3,23.95
353,2018.06.20,2.5,0.0,3.9,2.7,24.0
354,2018.06.21,3.8,0.6,2.5,0.0,16.35
355,2018.06.22,7.6,6.3,3.8,0.6,15.05
356,2018.06.23,5.1,0.0,7.6,6.3,14.45
357,2018.06.24,5.4,0.0,5.1,0.0,15.600000000000001
358,2018.06.25,2.7,0.0,5.4,0.0,16.75
359,2018.06.26,3.0,0.3,2.7,0.0,17.8
360,2018.06.27,6.3,1.3,3.0,0.3,18.85
361,2018.06.28,6.5,11.9,6.3,1.3,21.85
362,2018.06.29,5.2,8.4,6.5,11.9,17.45
363,2018.06.30,7.7,0.0,5.2,8.4,16.25
364,2018.07.01,4.2,0.0,7.7,0.0,15.3
365,2018.07.02,3.6,0.0,4.2,0.0,17.2
366,2018.07.03,3.0,0.0,3.6,0.0,19.1
367,2018.07.04,2.5,0.0,3.0,0.0,21.4
368,2018.07.05,2.9,1.1,2.5,0.0,22.4
369,2018.07.06,3.5,6.3,2.9,1.1,21.0
370,2018.07.07,5.1,10.1,3.5,6.3,19.35
371,2018.07.08,4.8,0.0,5.1,10.1,21.0
372,2018.07.09,3.0,0.3,4.8,0.0,20.75
373,2018.07.10,2.0,0.7,3.0,0.3,19.45
374,2018.07.11,6.0,3.9,2.0,0.7,18.7
375,2018.07.12,4.9,3.0,6.0,3.9,20.3
376,2018.07.13,6.2,0.0,4.9,3.0,20.9
377,2018.07.14,5.5,0.0,6.2,0.0,20.7
378,2018.07.15,4.7,0.0,5.5,0.0,20.8
379,2018.07.16,4.7,0.0,4.7,0.0,21.0
380,2018.07.17,5.5,0.0,4.7,0.0,20.9
381,2018.07.18,10.9,1.3,5.5,0.0,20.7
382,2018.07.19,9.2,3.7,10.9,1.3,21.8
383,2018.07.20,4.8,3.0,9.2,3.7,21.9
384,2018.07.21,2.5,0.0,4.8,3.0,21.8
385,2018.07.22,3.1,21.4,2.5,0.0,20.95
386,2018.07.23,4.5,20.3,3.1,21.4,22.65
387,2018.07.24,4.7,0.0,4.5,20.3,22.9
388,2018.07.25,3.1,0.0,4.7,0.0,22.5
389,2018.07.26,2.1,1.6,3.1,0.0,23.85
390,2018.07.27,3.5,6.3,2.1,1.6,23.8
391,2018.07.28,2.9,2.5,3.5,6.3,25.9
392,2018.07.29,3.6,6.5,2.9,2.5,24.95
393,2018.07.30,3.9,0.9,3.6,6.5,26.450000000000003
394,2018.07.31,4.0,1.0,3.9,0.9,26.299999999999997
395,2018.08.01,4.4,0.0,4.0,1.0,25.549999999999997
396,2018.08.02,2.0,6.7,4.4,0.0,24.9
397,2018.08.03,4.6,0.0,2.0,6.7,23.15
398,2018.08.04,2.6,0.0,4.6,0.0,24.049999999999997
399,2018.08.05,2.7,0.0,2.6,0.0,23.9
400,2018.08.06,3.3,0.1,2.7,0.0,23.65
401,2018.08.07,3.4,0.0,3.3,0.1,24.8
402,2018.08.08,3.9,0.0,3.4,0.0,26.2
403,2018.08.09,4.7,0.0,3.9,0.0,28.1
404,2018.08.10,4.6,1.1,4.7,0.0,23.15
405,2018.08.11,5.1,1.0,4.6,1.1,23.8
406,2018.08.12,2.9,0.0,5.1,1.0,25.2
407,2018.08.13,4.8,0.0,2.9,0.0,24.55
408,2018.08.14,5.7,0.0,4.8,0.0,23.7
409,2018.08.15,5.6,0.0,5.7,0.0,21.45
410,2018.08.16,2.8,0.0,5.6,0.0,23.4
411,2018.08.17,3.4,0.0,2.8,0.0,24.5
412,2018.08.18,2.0,0.2,3.4,0.0,25.0
413,2018.08.19,4.0,0.0,2.0,0.2,26.1
414,2018.08.20,3.2,0.1,4.0,0.0,26.65
415,2018.08.21,2.5,0.0,3.2,0.1,27.0
416,2018.08.22,4.0,0.0,2.5,0.0,26.4
417,2018.08.23,3.9,0.9,4.0,0.0,24.35
418,2018.08.24,3.7,2.6,3.9,0.9,21.15
419,2018.08.25,6.8,0.2,3.7,2.6,15.4
420,2018.08.26,6.2,16.8,6.8,0.2,15.05
421,2018.08.27,2.5,0.0,6.2,16.8,17.6
422,2018.08.28,3.9,0.0,2.5,0.0,19.25
423,2018.08.29,3.5,0.0,3.9,0.0,20.3
424,2018.08.30,2.5,0.0,3.5,0.0,22.299999999999997
425,2018.08.31,3.4,0.9,2.5,0.0,22.65
426,2018.09.01,3.5,1.8,3.4,0.9,22.5
427,2018.09.02,4.4,2.7,3.5,1.8,19.75
428,2018.09.03,5.2,3.7,4.4,2.7,17.4
429,2018.09.04,2.4,20.5,5.2,3.7,20.05
430,2018.09.05,3.5,0.1,2.4,20.5,18.45
431,2018.09.06,2.1,0.2,3.5,0.1,17.5
432,2018.09.07,2.1,0.0,2.1,0.2,19.65
433,2018.09.08,4.2,0.0,2.1,0.0,18.15
434,2018.09.09,2.5,0.0,4.2,0.0,17.85
435,2018.09.10,2.7,0.0,2.5,0.0,18.8
436,2018.09.11,4.9,0.0,2.7,0.0,19.85
437,2018.09.12,2.1,0.0,4.9,0.0,20.65
438,2018.09.13,2.0,0.0,2.1,0.0,21.1
439,2018.09.14,2.1,0.0,2.0,0.0,21.9
440,2018.09.15,6.1,0.0,2.1,0.0,17.75
441,2018.09.16,3.4,0.0,6.1,0.0,19.15
442,2018.09.17,3.0,0.0,3.4,0.0,18.15
443,2018.09.18,2.3,0.0,3.0,0.0,19.3
444,2018.09.19,3.0,0.0,2.3,0.0,20.0
445,2018.09.20,2.1,0.0,3.0,0.0,21.05
446,2018.09.21,3.9,0.0,2.1,0.0,14.85
447,2018.09.22,9.5,0.3,3.9,0.0,13.9
448,2018.09.23,5.4,0.0,9.5,0.3,14.75
449,2018.09.24,10.1,3.1,5.4,0.0,11.0
450,2018.09.25,6.8,0.0,10.1,3.1,9.0
451,2018.09.26,4.0,0.0,6.8,0.0,10.65
452,2018.09.27,3.8,0.0,4.0,0.0,11.350000000000001
453,2018.09.28,3.1,0.0,3.8,0.0,11.05
454,2018.09.29,4.7,0.7,3.1,0.0,9.85
455,2018.09.30,4.4,0.0,4.7,0.7,12.2
456,2018.10.01,4.4,0.2,4.4,0.0,10.55
457,2018.10.02,6.3,0.8,4.4,0.2,10.15
458,2018.10.03,7.4,0.1,6.3,0.8,10.7
459,2018.10.04,4.3,0.0,7.4,0.1,10.0
460,2018.10.05,3.7,0.0,4.3,0.0,12.15
461,2018.10.06,5.1,0.0,3.7,0.0,16.5
462,2018.10.07,4.4,0.0,5.1,0.0,15.75
