,Date,Wind_m/s,Precipitation_mm,Wind_m/s1,Precipitation_mm1,Wind_m/s2,Precipitation_mm2,Wind_m/s3,Precipitation_mm3,Wind_m/s4,Precipitation_mm4,Target: Max_temp
65,2017.09.08,3.0,0.0,7.4,0.0,6.7,2.1,5.9,0.0,6.7,1.9,24.5
66,2017.09.09,4.4,1.0,3.0,0.0,7.4,0.0,6.7,2.1,5.9,0.0,26.0
67,2017.09.10,5.4,0.0,4.4,1.0,3.0,0.0,7.4,0.0,6.7,2.1,26.1
68,2017.09.11,4.5,3.4,5.4,0.0,4.4,1.0,3.0,0.0,7.4,0.0,20.1
69,2017.09.12,6.6,1.8,4.5,3.4,5.4,0.0,4.4,1.0,3.0,0.0,22.0
70,2017.09.13,6.6,0.0,6.6,1.8,4.5,3.4,5.4,0.0,4.4,1.0,22.7
71,2017.09.14,9.8,0.8,6.6,0.0,6.6,1.8,4.5,3.4,5.4,0.0,17.3
72,2017.09.15,8.2,0.5,9.8,0.8,6.6,0.0,6.6,1.8,4.5,3.4,19.1
73,2017.09.16,3.6,1.8,8.2,0.5,9.8,0.8,6.6,0.0,6.6,1.8,16.6
74,2017.09.17,8.2,11.6,3.6,1.8,8.2,0.5,9.8,0.8,6.6,0.0,17.3
75,2017.09.18,3.4,0.8,8.2,11.6,3.6,1.8,8.2,0.5,9.8,0.8,14.8
76,2017.09.19,5.3,9.9,3.4,0.8,8.2,11.6,3.6,1.8,8.2,0.5,16.3
77,2017.09.20,2.7,15.0,5.3,9.9,3.4,0.8,8.2,11.6,3.6,1.8,13.8
78,2017.09.21,7.5,5.4,2.7,15.0,5.3,9.9,3.4,0.8,8.2,11.6,17.0
79,2017.09.22,7.0,0.4,7.5,5.4,2.7,15.0,5.3,9.9,3.4,0.8,13.0
80,2017.09.23,7.7,16.9,7.0,0.4,7.5,5.4,2.7,15.0,5.3,9.9,16.7
81,2017.09.24,5.8,0.2,7.7,16.9,7.0,0.4,7.5,5.4,2.7,15.0,16.9
82,2017.09.25,3.6,0.9,5.8,0.2,7.7,16.9,7.0,0.4,7.5,5.4,20.9
83,2017.09.26,4.1,0.0,3.6,0.9,5.8,0.2,7.7,16.9,7.0,0.4,16.7
84,2017.09.27,4.5,0.0,4.1,0.0,3.6,0.9,5.8,0.2,7.7,16.9,16.6
85,2017.09.28,3.8,0.0,4.5,0.0,4.1,0.0,3.6,0.9,5.8,0.2,16.8
86,2017.09.29,2.1,0.0,3.8,0.0,4.5,0.0,4.1,0.0,3.6,0.9,16.9
87,2017.09.30,2.1,0.0,2.1,0.0,3.8,0.0,4.5,0.0,4.1,0.0,16.2
88,2017.10.01,2.4,0.0,2.1,0.0,2.1,0.0,3.8,0.0,4.5,0.0,17.0
89,2017.10.02,5.3,0.0,2.4,0.0,2.1,0.0,2.1,0.0,3.8,0.0,15.6
90,2017.10.03,4.3,6.1,5.3,0.0,2.4,0.0,2.1,0.0,2.1,0.0,16.1
91,2017.10.04,6.9,0.0,4.3,6.1,5.3,0.0,2.4,0.0,2.1,0.0,19.6
92,2017.10.05,9.9,0.0,6.9,0.0,4.3,6.1,5.3,0.0,2.4,0.0,14.9
93,2017.10.06,7.7,0.0,9.9,0.0,6.9,0.0,4.3,6.1,5.3,0.0,14.8
94,2017.10.07,6.4,0.0,7.7,0.0,9.9,0.0,6.9,0.0,4.3,6.1,14.8
95,2017.10.08,7.6,0.1,6.4,0.0,7.7,0.0,9.9,0.0,6.9,0.0,13.6
96,2017.10.09,5.4,0.1,7.6,0.1,6.4,0.0,7.7,0.0,9.9,0.0,16.0
97,2017.10.10,4.5,0.2,5.4,0.1,7.6,0.1,6.4,0.0,7.7,0.0,17.8
98,2017.10.11,4.5,0.4,4.5,0.2,5.4,0.1,7.6,0.1,6.4,0.0,20.3
99,2017.10.12,5.0,0.0,4.5,0.4,4.5,0.2,5.4,0.1,7.6,0.1,17.6
100,2017.10.13,5.4,0.0,5.0,0.0,4.5,0.4,4.5,0.2,5.4,0.1,18.4
101,2017.10.14,3.1,0.0,5.4,0.0,5.0,0.0,4.5,0.4,4.5,0.2,20.5
102,2017.10.15,2.8,0.0,3.1,0.0,5.4,0.0,5.0,0.0,4.5,0.4,21.0
103,2017.10.16,2.0,0.0,2.8,0.0,3.1,0.0,5.4,0.0,5.0,0.0,21.4
104,2017.10.17,2.9,0.0,2.0,0.0,2.8,0.0,3.1,0.0,5.4,0.0,20.5
105,2017.10.18,3.0,0.0,2.9,0.0,2.0,0.0,2.8,0.0,3.1,0.0,18.8
106,2017.10.19,2.0,0.0,3.0,0.0,2.9,0.0,2.0,0.0,2.8,0.0,19.4
107,2017.10.20,2.3,0.0,2.0,0.0,3.0,0.0,2.9,0.0,2.0,0.0,16.9
108,2017.10.21,2.0,0.0,2.3,0.0,2.0,0.0,3.0,0.0,2.9,0.0,16.4
109,2017.10.22,4.8,5.8,2.0,0.0,2.3,0.0,2.0,0.0,3.0,0.0,10.6
110,2017.10.23,7.3,44.8,4.8,5.8,2.0,0.0,2.3,0.0,2.0,0.0,13.1
111,2017.10.24,6.8,0.0,7.3,44.8,4.8,5.8,2.0,0.0,2.3,0.0,12.2
112,2017.10.25,3.6,0.2,6.8,0.0,7.3,44.8,4.8,5.8,2.0,0.0,15.3
113,2017.10.26,3.8,0.0,3.6,0.2,6.8,0.0,7.3,44.8,4.8,5.8,14.6
114,2017.10.27,8.4,1.3,3.8,0.0,3.6,0.2,6.8,0.0,7.3,44.8,10.0
115,2017.10.28,8.1,0.2,8.4,1.3,3.8,0.0,3.6,0.2,6.8,0.0,10.2
116,2017.10.29,14.4,8.5,8.1,0.2,8.4,1.3,3.8,0.0,3.6,0.2,8.0
117,2017.10.30,9.1,0.1,14.4,8.5,8.1,0.2,8.4,1.3,3.8,0.0,8.4
118,2017.10.31,6.1,0.0,9.1,0.1,14.4,8.5,8.1,0.2,8.4,1.3,10.0
119,2017.11.01,4.1,0.0,6.1,0.0,9.1,0.1,14.4,8.5,8.1,0.2,11.6
120,2017.11.02,5.0,0.0,4.1,0.0,6.1,0.0,9.1,0.1,14.4,8.5,11.4
121,2017.11.03,5.6,0.1,5.0,0.0,4.1,0.0,6.1,0.0,9.1,0.1,11.4
122,2017.11.04,3.4,0.0,5.6,0.1,5.0,0.0,4.1,0.0,6.1,0.0,11.7
123,2017.11.05,4.5,0.7,3.4,0.0,5.6,0.1,5.0,0.0,4.1,0.0,12.7
124,2017.11.06,5.6,0.1,4.5,0.7,3.4,0.0,5.6,0.1,5.0,0.0,11.2
125,2017.11.07,5.0,1.9,5.6,0.1,4.5,0.7,3.4,0.0,5.6,0.1,10.4
126,2017.11.08,4.4,1.9,5.0,1.9,5.6,0.1,4.5,0.7,3.4,0.0,9.8
127,2017.11.09,3.2,2.1,4.4,1.9,5.0,1.9,5.6,0.1,4.5,0.7,8.6
128,2017.11.10,3.4,0.8,3.2,2.1,4.4,1.9,5.0,1.9,5.6,0.1,10.5
129,2017.11.11,4.7,0.3,3.4,0.8,3.2,2.1,4.4,1.9,5.0,1.9,9.7
130,2017.11.12,6.5,5.3,4.7,0.3,3.4,0.8,3.2,2.1,4.4,1.9,9.1
131,2017.11.13,6.3,13.8,6.5,5.3,4.7,0.3,3.4,0.8,3.2,2.1,7.2
132,2017.11.14,5.3,3.6,6.3,13.8,6.5,5.3,4.7,0.3,3.4,0.8,5.8
133,2017.11.15,2.9,0.0,5.3,3.6,6.3,13.8,6.5,5.3,4.7,0.3,6.4
134,2017.11.16,2.2,0.0,2.9,0.0,5.3,3.6,6.3,13.8,6.5,5.3,6.2
135,2017.11.17,2.6,0.1,2.2,0.0,2.9,0.0,5.3,3.6,6.3,13.8,5.3
136,2017.11.18,4.7,5.0,2.6,0.1,2.2,0.0,2.9,0.0,5.3,3.6,6.1
137,2017.11.19,4.5,0.7,4.7,5.0,2.6,0.1,2.2,0.0,2.9,0.0,5.9
138,2017.11.20,6.9,0.5,4.5,0.7,4.7,5.0,2.6,0.1,2.2,0.0,7.8
139,2017.11.21,7.6,2.0,6.9,0.5,4.5,0.7,4.7,5.0,2.6,0.1,9.1
140,2017.11.22,4.4,0.6,7.6,2.0,6.9,0.5,4.5,0.7,4.7,5.0,8.4
141,2017.11.23,2.2,0.2,4.4,0.6,7.6,2.0,6.9,0.5,4.5,0.7,7.8
142,2017.11.24,2.4,0.2,2.2,0.2,4.4,0.6,7.6,2.0,6.9,0.5,8.8
143,2017.11.25,6.1,0.5,2.4,0.2,2.2,0.2,4.4,0.6,7.6,2.0,6.3
144,2017.11.26,7.7,8.7,6.1,0.5,2.4,0.2,2.2,0.2,4.4,0.6,5.0
145,2017.11.27,6.6,0.0,7.7,8.7,6.1,0.5,2.4,0.2,2.2,0.2,4.4
146,2017.11.28,3.4,0.0,6.6,0.0,7.7,8.7,6.1,0.5,2.4,0.2,2.1
147,2017.11.29,5.3,3.2,3.4,0.0,6.6,0.0,7.7,8.7,6.1,0.5,3.7
148,2017.11.30,7.7,23.5,5.3,3.2,3.4,0.0,6.6,0.0,7.7,8.7,3.1
149,2017.12.01,3.8,0.0,7.7,23.5,5.3,3.2,3.4,0.0,6.6,0.0,-0.1
150,2017.12.02,2.8,0.1,3.8,0.0,7.7,23.5,5.3,3.2,3.4,0.0,-1.3
151,2017.12.03,3.8,0.2,2.8,0.1,3.8,0.0,7.7,23.5,5.3,3.2,1.5
152,2017.12.04,6.4,0.6,3.8,0.2,2.8,0.1,3.8,0.0,7.7,23.5,2.8
153,2017.12.05,6.4,0.3,6.4,0.6,3.8,0.2,2.8,0.1,3.8,0.0,3.3
154,2017.12.06,7.4,0.0,6.4,0.3,6.4,0.6,3.8,0.2,2.8,0.1,4.7
155,2017.12.07,4.6,0.0,7.4,0.0,6.4,0.3,6.4,0.6,3.8,0.2,7.6
156,2017.12.08,8.3,12.0,4.6,0.0,7.4,0.0,6.4,0.3,6.4,0.6,2.5
157,2017.12.09,8.4,1.0,8.3,12.0,4.6,0.0,7.4,0.0,6.4,0.3,2.5
158,2017.12.10,9.1,1.2,8.4,1.0,8.3,12.0,4.6,0.0,7.4,0.0,10.4
159,2017.12.11,8.9,5.9,9.1,1.2,8.4,1.0,8.3,12.0,4.6,0.0,13.7
160,2017.12.12,8.7,3.8,8.9,5.9,9.1,1.2,8.4,1.0,8.3,12.0,5.0
161,2017.12.13,5.8,2.0,8.7,3.8,8.9,5.9,9.1,1.2,8.4,1.0,5.5
162,2017.12.14,5.6,5.5,5.8,2.0,8.7,3.8,8.9,5.9,9.1,1.2,8.7
163,2017.12.15,7.0,27.6,5.6,5.5,5.8,2.0,8.7,3.8,8.9,5.9,5.5
164,2017.12.16,4.7,3.8,7.0,27.6,5.6,5.5,5.8,2.0,8.7,3.8,3.0
165,2017.12.17,5.5,0.0,4.7,3.8,7.0,27.6,5.6,5.5,5.8,2.0,0.6
166,2017.12.18,2.2,0.2,5.5,0.0,4.7,3.8,7.0,27.6,5.6,5.5,-1.0
167,2017.12.19,2.1,0.2,2.2,0.2,5.5,0.0,4.7,3.8,7.0,27.6,-2.4
168,2017.12.20,2.0,0.2,2.1,0.2,2.2,0.2,5.5,0.0,4.7,3.8,-1.8
169,2017.12.21,3.6,0.6,2.0,0.2,2.1,0.2,2.2,0.2,5.5,0.0,3.4
170,2017.12.22,5.7,0.0,3.6,0.6,2.0,0.2,2.1,0.2,2.2,0.2,2.9
171,2017.12.23,7.5,0.2,5.7,0.0,3.6,0.6,2.0,0.2,2.1,0.2,7.7
172,2017.12.24,8.6,0.2,7.5,0.2,5.7,0.0,3.6,0.6,2.0,0.2,6.2
173,2017.12.25,4.7,0.0,8.6,0.2,7.5,0.2,5.7,0.0,3.6,0.6,8.2
174,2017.12.26,6.7,0.1,4.7,0.0,8.6,0.2,7.5,0.2,5.7,0.0,8.0
175,2017.12.27,7.2,0.0,6.7,0.1,4.7,0.0,8.6,0.2,7.5,0.2,7.3
176,2017.12.28,7.5,7.0,7.2,0.0,6.7,0.1,4.7,0.0,8.6,0.2,2.4
177,2017.12.29,9.5,0.4,7.5,7.0,7.2,0.0,6.7,0.1,4.7,0.0,2.0
178,2017.12.30,5.3,0.2,9.5,0.4,7.5,7.0,7.2,0.0,6.7,0.1,4.4
179,2017.12.31,5.0,3.9,5.3,0.2,9.5,0.4,7.5,7.0,7.2,0.0,7.0
180,2018.01.01,5.0,0.3,5.0,3.9,5.3,0.2,9.5,0.4,7.5,7.0,4.8
181,2018.01.02,7.8,8.7,5.0,0.3,5.0,3.9,5.3,0.2,9.5,0.4,4.1
182,2018.01.03,7.4,6.1,7.8,8.7,5.0,0.3,5.0,3.9,5.3,0.2,7.7
183,2018.01.04,6.2,0.3,7.4,6.1,7.8,8.7,5.0,0.3,5.0,3.9,8.6
184,2018.01.05,3.5,1.1,6.2,0.3,7.4,6.1,7.8,8.7,5.0,0.3,12.5
185,2018.01.06,4.7,0.4,3.5,1.1,6.2,0.3,7.4,6.1,7.8,8.7,9.6
186,2018.01.07,3.2,0.1,4.7,0.4,3.5,1.1,6.2,0.3,7.4,6.1,8.3
187,2018.01.08,4.0,0.3,3.2,0.1,4.7,0.4,3.5,1.1,6.2,0.3,7.4
188,2018.01.09,5.5,0.0,4.0,0.3,3.2,0.1,4.7,0.4,3.5,1.1,5.4
189,2018.01.10,6.3,1.3,5.5,0.0,4.0,0.3,3.2,0.1,4.7,0.4,6.2
190,2018.01.11,3.0,3.1,6.3,1.3,5.5,0.0,4.0,0.3,3.2,0.1,4.6
191,2018.01.12,3.9,4.0,3.0,3.1,6.3,1.3,5.5,0.0,4.0,0.3,2.4
192,2018.01.13,7.6,2.6,3.9,4.0,3.0,3.1,6.3,1.3,5.5,0.0,-0.6
193,2018.01.14,5.0,3.6,7.6,2.6,3.9,4.0,3.0,3.1,6.3,1.3,-2.4
194,2018.01.15,2.9,0.9,5.0,3.6,7.6,2.6,3.9,4.0,3.0,3.1,1.3
195,2018.01.16,5.4,2.7,2.9,0.9,5.0,3.6,7.6,2.6,3.9,4.0,3.0
196,2018.01.17,8.4,0.0,5.4,2.7,2.9,0.9,5.0,3.6,7.6,2.6,3.5
197,2018.01.18,7.3,0.3,8.4,0.0,5.4,2.7,2.9,0.9,5.0,3.6,4.6
198,2018.01.19,7.1,1.2,7.3,0.3,8.4,0.0,5.4,2.7,2.9,0.9,3.1
199,2018.01.20,3.8,0.1,7.1,1.2,7.3,0.3,8.4,0.0,5.4,2.7,2.2
200,2018.01.21,9.4,6.2,3.8,0.1,7.1,1.2,7.3,0.3,8.4,0.0,1.3
201,2018.01.22,7.1,0.0,9.4,6.2,3.8,0.1,7.1,1.2,7.3,0.3,-0.7
202,2018.01.23,2.0,0.7,7.1,0.0,9.4,6.2,3.8,0.1,7.1,1.2,-2.3
203,2018.01.24,2.8,0.3,2.0,0.7,7.1,0.0,9.4,6.2,3.8,0.1,1.4
204,2018.01.25,4.6,1.4,2.8,0.3,2.0,0.7,7.1,0.0,9.4,6.2,0.2
205,2018.01.26,3.8,0.0,4.6,1.4,2.8,0.3,2.0,0.7,7.1,0.0,2.0
206,2018.01.27,3.0,0.1,3.8,0.0,4.6,1.4,2.8,0.3,2.0,0.7,3.9
207,2018.01.28,3.7,0.1,3.0,0.1,3.8,0.0,4.6,1.4,2.8,0.3,8.5
208,2018.01.29,4.8,0.1,3.7,0.1,3.0,0.1,3.8,0.0,4.6,1.4,6.6
209,2018.01.30,7.8,0.0,4.8,0.1,3.7,0.1,3.0,0.1,3.8,0.0,4.7
210,2018.01.31,4.1,0.1,7.8,0.0,4.8,0.1,3.7,0.1,3.0,0.1,8.3
211,2018.02.01,7.4,6.9,4.1,0.1,7.8,0.0,4.8,0.1,3.7,0.1,8.7
212,2018.02.02,4.7,7.5,7.4,6.9,4.1,0.1,7.8,0.0,4.8,0.1,2.4
213,2018.02.03,7.6,13.5,4.7,7.5,7.4,6.9,4.1,0.1,7.8,0.0,2.4
214,2018.02.04,6.9,0.0,7.6,13.5,4.7,7.5,7.4,6.9,4.1,0.1,1.9
215,2018.02.05,1.7,0.1,6.9,0.0,7.6,13.5,4.7,7.5,7.4,6.9,0.2
216,2018.02.06,4.2,1.6,1.7,0.1,6.9,0.0,7.6,13.5,4.7,7.5,2.3
217,2018.02.07,5.7,3.6,4.2,1.6,1.7,0.1,6.9,0.0,7.6,13.5,2.8
218,2018.02.08,4.8,7.4,5.7,3.6,4.2,1.6,1.7,0.1,6.9,0.0,1.4
219,2018.02.09,3.6,0.4,4.8,7.4,5.7,3.6,4.2,1.6,1.7,0.1,1.1
220,2018.02.10,2.1,0.6,3.6,0.4,4.8,7.4,5.7,3.6,4.2,1.6,1.8
221,2018.02.11,2.0,0.2,2.1,0.6,3.6,0.4,4.8,7.4,5.7,3.6,3.3
222,2018.02.12,2.0,0.2,2.0,0.2,2.1,0.6,3.6,0.4,4.8,7.4,2.6
223,2018.02.13,5.0,1.1,2.0,0.2,2.0,0.2,2.1,0.6,3.6,0.4,1.7
224,2018.02.14,4.5,2.8,5.0,1.1,2.0,0.2,2.0,0.2,2.1,0.6,2.1
225,2018.02.15,2.0,0.1,4.5,2.8,5.0,1.1,2.0,0.2,2.0,0.2,2.4
226,2018.02.16,2.1,1.0,2.0,0.1,4.5,2.8,5.0,1.1,2.0,0.2,2.0
227,2018.02.17,3.6,2.3,2.1,1.0,2.0,0.1,4.5,2.8,5.0,1.1,3.3
228,2018.02.18,3.2,5.2,3.6,2.3,2.1,1.0,2.0,0.1,4.5,2.8,1.0
229,2018.02.19,3.8,1.6,3.2,5.2,3.6,2.3,2.1,1.0,2.0,0.1,0.9
230,2018.02.20,4.3,8.6,3.8,1.6,3.2,5.2,3.6,2.3,2.1,1.0,1.7
231,2018.02.21,4.5,3.9,4.3,8.6,3.8,1.6,3.2,5.2,3.6,2.3,0.4
232,2018.02.22,6.2,2.3,4.5,3.9,4.3,8.6,3.8,1.6,3.2,5.2,2.0
233,2018.02.23,4.4,0.2,6.2,2.3,4.5,3.9,4.3,8.6,3.8,1.6,-0.1
234,2018.02.24,6.2,1.4,4.4,0.2,6.2,2.3,4.5,3.9,4.3,8.6,-6.6
235,2018.02.25,5.7,0.0,6.2,1.4,4.4,0.2,6.2,2.3,4.5,3.9,-6.1
236,2018.02.26,6.9,0.8,5.7,0.0,6.2,1.4,4.4,0.2,6.2,2.3,-7.2
237,2018.02.27,6.6,1.9,6.9,0.8,5.7,0.0,6.2,1.4,4.4,0.2,-6.5
238,2018.02.28,3.9,0.2,6.6,1.9,6.9,0.8,5.7,0.0,6.2,1.4,-7.4
239,2018.03.01,4.3,0.7,3.9,0.2,6.6,1.9,6.9,0.8,5.7,0.0,-6.3
240,2018.03.02,4.7,2.5,4.3,0.7,3.9,0.2,6.6,1.9,6.9,0.8,-4.4
241,2018.03.03,3.5,0.1,4.7,2.5,4.3,0.7,3.9,0.2,6.6,1.9,-3.6
242,2018.03.04,4.0,0.1,3.5,0.1,4.7,2.5,4.3,0.7,3.9,0.2,-2.4
243,2018.03.05,4.0,0.4,4.0,0.1,3.5,0.1,4.7,2.5,4.3,0.7,1.8
244,2018.03.06,4.7,6.3,4.0,0.4,4.0,0.1,3.5,0.1,4.7,2.5,6.0
245,2018.03.07,2.9,0.2,4.7,6.3,4.0,0.4,4.0,0.1,3.5,0.1,6.4
246,2018.03.08,3.8,1.8,2.9,0.2,4.7,6.3,4.0,0.4,4.0,0.1,9.3
247,2018.03.09,3.5,0.0,3.8,1.8,2.9,0.2,4.7,6.3,4.0,0.4,9.7
248,2018.03.10,5.2,0.5,3.5,0.0,3.8,1.8,2.9,0.2,4.7,6.3,12.3
249,2018.03.11,5.6,3.6,5.2,0.5,3.5,0.0,3.8,1.8,2.9,0.2,13.4
250,2018.03.12,7.2,7.3,5.6,3.6,5.2,0.5,3.5,0.0,3.8,1.8,12.6
251,2018.03.13,5.9,2.9,7.2,7.3,5.6,3.6,5.2,0.5,3.5,0.0,10.9
252,2018.03.14,7.0,0.2,5.9,2.9,7.2,7.3,5.6,3.6,5.2,0.5,10.2
253,2018.03.15,4.4,2.5,7.0,0.2,5.9,2.9,7.2,7.3,5.6,3.6,9.9
254,2018.03.16,6.0,18.6,4.4,2.5,7.0,0.2,5.9,2.9,7.2,7.3,5.8
255,2018.03.17,6.5,1.5,6.0,18.6,4.4,2.5,7.0,0.2,5.9,2.9,-0.4
256,2018.03.18,10.4,13.4,6.5,1.5,6.0,18.6,4.4,2.5,7.0,0.2,0.6
257,2018.03.19,3.6,1.1,10.4,13.4,6.5,1.5,6.0,18.6,4.4,2.5,0.0
258,2018.03.20,5.5,1.6,3.6,1.1,10.4,13.4,6.5,1.5,6.0,18.6,2.8
