,Date,Wind_m/s,Precipitation_mm,Min_temp,Max_temp,Mean_temp,Target: Min_temp
0,2017.07.01,6.1,14.0,15.0,26.0,20.5,15.0
1,2017.07.02,6.9,0.0,15.0,25.0,20.0,16.0
2,2017.07.03,6.7,0.0,16.0,25.0,20.5,12.0
3,2017.07.04,5.3,0.0,12.0,27.0,19.5,17.0
4,2017.07.05,4.2,0.0,17.0,30.0,23.5,17.0
5,2017.07.06,5.6,0.0,17.0,30.0,23.5,17.0
6,2017.07.07,4.7,0.0,17.0,28.0,22.5,16.0
7,2017.07.08,6.7,0.0,16.0,32.0,24.0,18.0
8,2017.07.09,2.2,0.0,18.0,30.0,24.0,20.0
9,2017.07.10,6.4,21.0,20.0,36.0,28.0,22.16
10,2017.07.11,3.7,0.4,22.16,31.48,26.82,19.55
11,2017.07.12,2.2,1.5,19.55,32.14,25.845,17.3
12,2017.07.13,7.0,1.0,17.3,24.78,21.04,14.39
13,2017.07.14,1.6,0.0,14.39,24.71,19.55,15.19
14,2017.07.15,5.2,2.4,15.19,24.83,20.009999999999998,14.36
15,2017.07.16,3.4,0.0,14.36,25.43,19.895,16.6
16,2017.07.17,1.5,0.0,16.6,29.02,22.810000000000002,19.56
17,2017.07.18,1.3,0.0,19.56,31.16,25.36,17.75
18,2017.07.19,2.3,0.0,17.75,33.04,25.395,18.64
19,2017.07.20,1.6,0.0,18.64,34.84,26.740000000000002,22.94
20,2017.07.21,4.0,0.0,22.94,33.28,28.11,21.52
21,2017.07.22,1.9,5.0,21.52,34.21,27.865000000000002,21.58
22,2017.07.23,2.5,0.6,21.58,33.89,27.735,21.92
23,2017.07.24,3.1,8.3,21.92,30.87,26.395000000000003,15.1
24,2017.07.25,8.4,12.9,15.1,22.1,18.6,13.2
25,2017.07.26,5.9,0.0,13.2,20.7,16.95,12.8
26,2017.07.27,7.1,1.0,12.8,20.7,16.75,15.9
27,2017.07.28,6.8,0.2,15.9,23.1,19.5,16.0
28,2017.07.29,3.3,0.0,16.0,26.4,21.2,16.4
29,2017.07.30,4.7,0.0,16.4,27.9,22.15,18.3
30,2017.07.31,3.8,0.0,18.3,30.0,24.15,20.8
31,2017.08.01,3.9,0.0,20.8,31.7,26.25,23.4
32,2017.08.02,5.5,0.0,23.4,34.7,29.05,20.5
33,2017.08.03,2.1,0.0,20.5,34.6,27.55,22.6
34,2017.08.04,2.1,2.8,22.6,36.8,29.7,24.9
35,2017.08.05,6.6,0.0,24.9,33.8,29.349999999999998,23.1
36,2017.08.06,7.9,0.4,23.1,32.7,27.900000000000002,16.6
37,2017.08.07,4.8,4.2,16.6,23.7,20.15,13.7
38,2017.08.08,3.0,0.0,13.7,29.2,21.45,18.2
39,2017.08.09,4.6,0.0,18.2,29.3,23.75,22.9
40,2017.08.10,5.3,0.0,22.9,36.1,29.5,22.4
41,2017.08.11,6.0,0.0,22.4,34.3,28.349999999999998,19.9
42,2017.08.12,8.6,0.5,19.9,23.5,21.7,17.1
43,2017.08.13,8.1,0.0,17.1,26.4,21.75,12.7
44,2017.08.14,3.4,0.0,12.7,25.2,18.95,14.9
45,2017.08.15,3.2,0.0,14.9,27.4,21.15,14.6
46,2017.08.16,2.8,0.0,14.6,28.0,21.3,16.3
47,2017.08.17,2.4,0.0,16.3,30.8,23.55,18.0
48,2017.08.18,3.8,0.0,18.0,32.9,25.45,20.5
49,2017.08.19,7.9,0.3,20.5,32.7,26.6,14.7
50,2017.08.20,7.2,7.8,14.7,20.9,17.799999999999997,13.1
51,2017.08.21,6.1,0.0,13.1,23.4,18.25,10.7
52,2017.08.22,2.7,0.0,10.7,22.5,16.6,10.8
53,2017.08.23,3.5,0.0,10.8,23.7,17.25,9.1
54,2017.08.24,2.9,0.1,9.1,26.3,17.7,14.1
55,2017.08.25,2.2,0.0,14.1,29.5,21.8,16.4
56,2017.08.26,2.6,0.0,16.4,30.2,23.299999999999997,18.3
57,2017.08.27,4.4,0.0,18.3,32.2,25.25,17.0
