,Date,Wind_m/s,Precipitation_mm,Wind_m/s1,Precipitation_mm1,Wind_m/s2,Precipitation_mm2,Wind_m/s3,Precipitation_mm3,Target: Max_temp
69,2017.09.11,4.5,3.4,5.4,0.0,4.4,1.0,3.0,0.0,20.1
70,2017.09.12,6.6,1.8,4.5,3.4,5.4,0.0,4.4,1.0,22.0
71,2017.09.13,6.6,0.0,6.6,1.8,4.5,3.4,5.4,0.0,22.7
72,2017.09.14,9.8,0.8,6.6,0.0,6.6,1.8,4.5,3.4,17.3
73,2017.09.15,8.2,0.5,9.8,0.8,6.6,0.0,6.6,1.8,19.1
74,2017.09.16,3.6,1.8,8.2,0.5,9.8,0.8,6.6,0.0,16.6
75,2017.09.17,8.2,11.6,3.6,1.8,8.2,0.5,9.8,0.8,17.3
76,2017.09.18,3.4,0.8,8.2,11.6,3.6,1.8,8.2,0.5,14.8
77,2017.09.19,5.3,9.9,3.4,0.8,8.2,11.6,3.6,1.8,16.3
78,2017.09.20,2.7,15.0,5.3,9.9,3.4,0.8,8.2,11.6,13.8
79,2017.09.21,7.5,5.4,2.7,15.0,5.3,9.9,3.4,0.8,17.0
80,2017.09.22,7.0,0.4,7.5,5.4,2.7,15.0,5.3,9.9,13.0
81,2017.09.23,7.7,16.9,7.0,0.4,7.5,5.4,2.7,15.0,16.7
82,2017.09.24,5.8,0.2,7.7,16.9,7.0,0.4,7.5,5.4,16.9
83,2017.09.25,3.6,0.9,5.8,0.2,7.7,16.9,7.0,0.4,20.9
84,2017.09.26,4.1,0.0,3.6,0.9,5.8,0.2,7.7,16.9,16.7
85,2017.09.27,4.5,0.0,4.1,0.0,3.6,0.9,5.8,0.2,16.6
86,2017.09.28,3.8,0.0,4.5,0.0,4.1,0.0,3.6,0.9,16.8
87,2017.09.29,2.1,0.0,3.8,0.0,4.5,0.0,4.1,0.0,16.9
88,2017.09.30,2.1,0.0,2.1,0.0,3.8,0.0,4.5,0.0,16.2
89,2017.10.01,2.4,0.0,2.1,0.0,2.1,0.0,3.8,0.0,17.0
90,2017.10.02,5.3,0.0,2.4,0.0,2.1,0.0,2.1,0.0,15.6
91,2017.10.03,4.3,6.1,5.3,0.0,2.4,0.0,2.1,0.0,16.1
92,2017.10.04,6.9,0.0,4.3,6.1,5.3,0.0,2.4,0.0,19.6
93,2017.10.05,9.9,0.0,6.9,0.0,4.3,6.1,5.3,0.0,14.9
94,2017.10.06,7.7,0.0,9.9,0.0,6.9,0.0,4.3,6.1,14.8
95,2017.10.07,6.4,0.0,7.7,0.0,9.9,0.0,6.9,0.0,14.8
96,2017.10.08,7.6,0.1,6.4,0.0,7.7,0.0,9.9,0.0,13.6
97,2017.10.09,5.4,0.1,7.6,0.1,6.4,0.0,7.7,0.0,16.0
98,2017.10.10,4.5,0.2,5.4,0.1,7.6,0.1,6.4,0.0,17.8
99,2017.10.11,4.5,0.4,4.5,0.2,5.4,0.1,7.6,0.1,20.3
100,2017.10.12,5.0,0.0,4.5,0.4,4.5,0.2,5.4,0.1,17.6
101,2017.10.13,5.4,0.0,5.0,0.0,4.5,0.4,4.5,0.2,18.4
102,2017.10.14,3.1,0.0,5.4,0.0,5.0,0.0,4.5,0.4,20.5
103,2017.10.15,2.8,0.0,3.1,0.0,5.4,0.0,5.0,0.0,21.0
104,2017.10.16,2.0,0.0,2.8,0.0,3.1,0.0,5.4,0.0,21.4
105,2017.10.17,2.9,0.0,2.0,0.0,2.8,0.0,3.1,0.0,20.5
106,2017.10.18,3.0,0.0,2.9,0.0,2.0,0.0,2.8,0.0,18.8
107,2017.10.19,2.0,0.0,3.0,0.0,2.9,0.0,2.0,0.0,19.4
108,2017.10.20,2.3,0.0,2.0,0.0,3.0,0.0,2.9,0.0,16.9
109,2017.10.21,2.0,0.0,2.3,0.0,2.0,0.0,3.0,0.0,16.4
110,2017.10.22,4.8,5.8,2.0,0.0,2.3,0.0,2.0,0.0,10.6
111,2017.10.23,7.3,44.8,4.8,5.8,2.0,0.0,2.3,0.0,13.1
112,2017.10.24,6.8,0.0,7.3,44.8,4.8,5.8,2.0,0.0,12.2
113,2017.10.25,3.6,0.2,6.8,0.0,7.3,44.8,4.8,5.8,15.3
114,2017.10.26,3.8,0.0,3.6,0.2,6.8,0.0,7.3,44.8,14.6
115,2017.10.27,8.4,1.3,3.8,0.0,3.6,0.2,6.8,0.0,10.0
116,2017.10.28,8.1,0.2,8.4,1.3,3.8,0.0,3.6,0.2,10.2
117,2017.10.29,14.4,8.5,8.1,0.2,8.4,1.3,3.8,0.0,8.0
118,2017.10.30,9.1,0.1,14.4,8.5,8.1,0.2,8.4,1.3,8.4
119,2017.10.31,6.1,0.0,9.1,0.1,14.4,8.5,8.1,0.2,10.0
120,2017.11.01,4.1,0.0,6.1,0.0,9.1,0.1,14.4,8.5,11.6
121,2017.11.02,5.0,0.0,4.1,0.0,6.1,0.0,9.1,0.1,11.4
122,2017.11.03,5.6,0.1,5.0,0.0,4.1,0.0,6.1,0.0,11.4
123,2017.11.04,3.4,0.0,5.6,0.1,5.0,0.0,4.1,0.0,11.7
124,2017.11.05,4.5,0.7,3.4,0.0,5.6,0.1,5.0,0.0,12.7
125,2017.11.06,5.6,0.1,4.5,0.7,3.4,0.0,5.6,0.1,11.2
126,2017.11.07,5.0,1.9,5.6,0.1,4.5,0.7,3.4,0.0,10.4
127,2017.11.08,4.4,1.9,5.0,1.9,5.6,0.1,4.5,0.7,9.8
128,2017.11.09,3.2,2.1,4.4,1.9,5.0,1.9,5.6,0.1,8.6
129,2017.11.10,3.4,0.8,3.2,2.1,4.4,1.9,5.0,1.9,10.5
130,2017.11.11,4.7,0.3,3.4,0.8,3.2,2.1,4.4,1.9,9.7
131,2017.11.12,6.5,5.3,4.7,0.3,3.4,0.8,3.2,2.1,9.1
132,2017.11.13,6.3,13.8,6.5,5.3,4.7,0.3,3.4,0.8,7.2
133,2017.11.14,5.3,3.6,6.3,13.8,6.5,5.3,4.7,0.3,5.8
134,2017.11.15,2.9,0.0,5.3,3.6,6.3,13.8,6.5,5.3,6.4
135,2017.11.16,2.2,0.0,2.9,0.0,5.3,3.6,6.3,13.8,6.2
136,2017.11.17,2.6,0.1,2.2,0.0,2.9,0.0,5.3,3.6,5.3
137,2017.11.18,4.7,5.0,2.6,0.1,2.2,0.0,2.9,0.0,6.1
138,2017.11.19,4.5,0.7,4.7,5.0,2.6,0.1,2.2,0.0,5.9
139,2017.11.20,6.9,0.5,4.5,0.7,4.7,5.0,2.6,0.1,7.8
140,2017.11.21,7.6,2.0,6.9,0.5,4.5,0.7,4.7,5.0,9.1
141,2017.11.22,4.4,0.6,7.6,2.0,6.9,0.5,4.5,0.7,8.4
142,2017.11.23,2.2,0.2,4.4,0.6,7.6,2.0,6.9,0.5,7.8
143,2017.11.24,2.4,0.2,2.2,0.2,4.4,0.6,7.6,2.0,8.8
144,2017.11.25,6.1,0.5,2.4,0.2,2.2,0.2,4.4,0.6,6.3
145,2017.11.26,7.7,8.7,6.1,0.5,2.4,0.2,2.2,0.2,5.0
146,2017.11.27,6.6,0.0,7.7,8.7,6.1,0.5,2.4,0.2,4.4
147,2017.11.28,3.4,0.0,6.6,0.0,7.7,8.7,6.1,0.5,2.1
148,2017.11.29,5.3,3.2,3.4,0.0,6.6,0.0,7.7,8.7,3.7
149,2017.11.30,7.7,23.5,5.3,3.2,3.4,0.0,6.6,0.0,3.1
150,2017.12.01,3.8,0.0,7.7,23.5,5.3,3.2,3.4,0.0,-0.1
151,2017.12.02,2.8,0.1,3.8,0.0,7.7,23.5,5.3,3.2,-1.3
152,2017.12.03,3.8,0.2,2.8,0.1,3.8,0.0,7.7,23.5,1.5
153,2017.12.04,6.4,0.6,3.8,0.2,2.8,0.1,3.8,0.0,2.8
154,2017.12.05,6.4,0.3,6.4,0.6,3.8,0.2,2.8,0.1,3.3
155,2017.12.06,7.4,0.0,6.4,0.3,6.4,0.6,3.8,0.2,4.7
156,2017.12.07,4.6,0.0,7.4,0.0,6.4,0.3,6.4,0.6,7.6
157,2017.12.08,8.3,12.0,4.6,0.0,7.4,0.0,6.4,0.3,2.5
158,2017.12.09,8.4,1.0,8.3,12.0,4.6,0.0,7.4,0.0,2.5
159,2017.12.10,9.1,1.2,8.4,1.0,8.3,12.0,4.6,0.0,10.4
160,2017.12.11,8.9,5.9,9.1,1.2,8.4,1.0,8.3,12.0,13.7
161,2017.12.12,8.7,3.8,8.9,5.9,9.1,1.2,8.4,1.0,5.0
162,2017.12.13,5.8,2.0,8.7,3.8,8.9,5.9,9.1,1.2,5.5
163,2017.12.14,5.6,5.5,5.8,2.0,8.7,3.8,8.9,5.9,8.7
164,2017.12.15,7.0,27.6,5.6,5.5,5.8,2.0,8.7,3.8,5.5
165,2017.12.16,4.7,3.8,7.0,27.6,5.6,5.5,5.8,2.0,3.0
166,2017.12.17,5.5,0.0,4.7,3.8,7.0,27.6,5.6,5.5,0.6
167,2017.12.18,2.2,0.2,5.5,0.0,4.7,3.8,7.0,27.6,-1.0
168,2017.12.19,2.1,0.2,2.2,0.2,5.5,0.0,4.7,3.8,-2.4
169,2017.12.20,2.0,0.2,2.1,0.2,2.2,0.2,5.5,0.0,-1.8
170,2017.12.21,3.6,0.6,2.0,0.2,2.1,0.2,2.2,0.2,3.4
171,2017.12.22,5.7,0.0,3.6,0.6,2.0,0.2,2.1,0.2,2.9
172,2017.12.23,7.5,0.2,5.7,0.0,3.6,0.6,2.0,0.2,7.7
173,2017.12.24,8.6,0.2,7.5,0.2,5.7,0.0,3.6,0.6,6.2
174,2017.12.25,4.7,0.0,8.6,0.2,7.5,0.2,5.7,0.0,8.2
