,Date,Wind_m/s,Precipitation_mm,Wind_m/s1,Precipitation_mm1,Wind_m/s2,Precipitation_mm2,Wind_m/s3,Precipitation_mm3,Wind_m/s4,Precipitation_mm4,Wind_m/s5,Precipitation_mm5,Wind_m/s6,Precipitation_mm6,Wind_m/s7,Precipitation_mm7,Target: Min_temp
45,2017.08.22,2.7,0.0,6.1,0.0,7.2,7.8,7.9,0.3,3.8,0.0,2.4,0.0,2.8,0.0,3.2,0.0,10.8
46,2017.08.23,3.5,0.0,2.7,0.0,6.1,0.0,7.2,7.8,7.9,0.3,3.8,0.0,2.4,0.0,2.8,0.0,9.1
47,2017.08.24,2.9,0.1,3.5,0.0,2.7,0.0,6.1,0.0,7.2,7.8,7.9,0.3,3.8,0.0,2.4,0.0,14.1
48,2017.08.25,2.2,0.0,2.9,0.1,3.5,0.0,2.7,0.0,6.1,0.0,7.2,7.8,7.9,0.3,3.8,0.0,16.4
49,2017.08.26,2.6,0.0,2.2,0.0,2.9,0.1,3.5,0.0,2.7,0.0,6.1,0.0,7.2,7.8,7.9,0.3,18.3
50,2017.08.27,4.4,0.0,2.6,0.0,2.2,0.0,2.9,0.1,3.5,0.0,2.7,0.0,6.1,0.0,7.2,7.8,17.0
51,2017.08.28,3.7,0.0,4.4,0.0,2.6,0.0,2.2,0.0,2.9,0.1,3.5,0.0,2.7,0.0,6.1,0.0,14.7
52,2017.08.29,3.0,0.0,3.7,0.0,4.4,0.0,2.6,0.0,2.2,0.0,2.9,0.1,3.5,0.0,2.7,0.0,12.1
53,2017.08.30,3.5,0.0,3.0,0.0,3.7,0.0,4.4,0.0,2.6,0.0,2.2,0.0,2.9,0.1,3.5,0.0,12.8
54,2017.08.31,3.9,0.0,3.5,0.0,3.0,0.0,3.7,0.0,4.4,0.0,2.6,0.0,2.2,0.0,2.9,0.1,15.8
55,2017.09.01,3.8,2.9,3.9,0.0,3.5,0.0,3.0,0.0,3.7,0.0,4.4,0.0,2.6,0.0,2.2,0.0,16.0
56,2017.09.02,4.8,10.9,3.8,2.9,3.9,0.0,3.5,0.0,3.0,0.0,3.7,0.0,4.4,0.0,2.6,0.0,15.1
57,2017.09.03,4.8,2.2,4.8,10.9,3.8,2.9,3.9,0.0,3.5,0.0,3.0,0.0,3.7,0.0,4.4,0.0,12.1
58,2017.09.04,6.7,1.9,4.8,2.2,4.8,10.9,3.8,2.9,3.9,0.0,3.5,0.0,3.0,0.0,3.7,0.0,9.6
59,2017.09.05,5.9,0.0,6.7,1.9,4.8,2.2,4.8,10.9,3.8,2.9,3.9,0.0,3.5,0.0,3.0,0.0,10.4
60,2017.09.06,6.7,2.1,5.9,0.0,6.7,1.9,4.8,2.2,4.8,10.9,3.8,2.9,3.9,0.0,3.5,0.0,12.6
61,2017.09.07,7.4,0.0,6.7,2.1,5.9,0.0,6.7,1.9,4.8,2.2,4.8,10.9,3.8,2.9,3.9,0.0,8.7
62,2017.09.08,3.0,0.0,7.4,0.0,6.7,2.1,5.9,0.0,6.7,1.9,4.8,2.2,4.8,10.9,3.8,2.9,11.3
63,2017.09.09,4.4,1.0,3.0,0.0,7.4,0.0,6.7,2.1,5.9,0.0,6.7,1.9,4.8,2.2,4.8,10.9,13.8
64,2017.09.10,5.4,0.0,4.4,1.0,3.0,0.0,7.4,0.0,6.7,2.1,5.9,0.0,6.7,1.9,4.8,2.2,18.6
65,2017.09.11,4.5,3.4,5.4,0.0,4.4,1.0,3.0,0.0,7.4,0.0,6.7,2.1,5.9,0.0,6.7,1.9,14.3
66,2017.09.12,6.6,1.8,4.5,3.4,5.4,0.0,4.4,1.0,3.0,0.0,7.4,0.0,6.7,2.1,5.9,0.0,12.6
67,2017.09.13,6.6,0.0,6.6,1.8,4.5,3.4,5.4,0.0,4.4,1.0,3.0,0.0,7.4,0.0,6.7,2.1,12.6
68,2017.09.14,9.8,0.8,6.6,0.0,6.6,1.8,4.5,3.4,5.4,0.0,4.4,1.0,3.0,0.0,7.4,0.0,12.2
69,2017.09.15,8.2,0.5,9.8,0.8,6.6,0.0,6.6,1.8,4.5,3.4,5.4,0.0,4.4,1.0,3.0,0.0,13.0
70,2017.09.16,3.6,1.8,8.2,0.5,9.8,0.8,6.6,0.0,6.6,1.8,4.5,3.4,5.4,0.0,4.4,1.0,9.4
71,2017.09.17,8.2,11.6,3.6,1.8,8.2,0.5,9.8,0.8,6.6,0.0,6.6,1.8,4.5,3.4,5.4,0.0,10.3
72,2017.09.18,3.4,0.8,8.2,11.6,3.6,1.8,8.2,0.5,9.8,0.8,6.6,0.0,6.6,1.8,4.5,3.4,11.3
73,2017.09.19,5.3,9.9,3.4,0.8,8.2,11.6,3.6,1.8,8.2,0.5,9.8,0.8,6.6,0.0,6.6,1.8,12.5
74,2017.09.20,2.7,15.0,5.3,9.9,3.4,0.8,8.2,11.6,3.6,1.8,8.2,0.5,9.8,0.8,6.6,0.0,12.2
75,2017.09.21,7.5,5.4,2.7,15.0,5.3,9.9,3.4,0.8,8.2,11.6,3.6,1.8,8.2,0.5,9.8,0.8,10.5
76,2017.09.22,7.0,0.4,7.5,5.4,2.7,15.0,5.3,9.9,3.4,0.8,8.2,11.6,3.6,1.8,8.2,0.5,10.4
77,2017.09.23,7.7,16.9,7.0,0.4,7.5,5.4,2.7,15.0,5.3,9.9,3.4,0.8,8.2,11.6,3.6,1.8,9.2
78,2017.09.24,5.8,0.2,7.7,16.9,7.0,0.4,7.5,5.4,2.7,15.0,5.3,9.9,3.4,0.8,8.2,11.6,10.9
79,2017.09.25,3.6,0.9,5.8,0.2,7.7,16.9,7.0,0.4,7.5,5.4,2.7,15.0,5.3,9.9,3.4,0.8,7.8
80,2017.09.26,4.1,0.0,3.6,0.9,5.8,0.2,7.7,16.9,7.0,0.4,7.5,5.4,2.7,15.0,5.3,9.9,12.1
81,2017.09.27,4.5,0.0,4.1,0.0,3.6,0.9,5.8,0.2,7.7,16.9,7.0,0.4,7.5,5.4,2.7,15.0,8.0
82,2017.09.28,3.8,0.0,4.5,0.0,4.1,0.0,3.6,0.9,5.8,0.2,7.7,16.9,7.0,0.4,7.5,5.4,5.5
83,2017.09.29,2.1,0.0,3.8,0.0,4.5,0.0,4.1,0.0,3.6,0.9,5.8,0.2,7.7,16.9,7.0,0.4,4.3
84,2017.09.30,2.1,0.0,2.1,0.0,3.8,0.0,4.5,0.0,4.1,0.0,3.6,0.9,5.8,0.2,7.7,16.9,4.7
85,2017.10.01,2.4,0.0,2.1,0.0,2.1,0.0,3.8,0.0,4.5,0.0,4.1,0.0,3.6,0.9,5.8,0.2,3.1
86,2017.10.02,5.3,0.0,2.4,0.0,2.1,0.0,2.1,0.0,3.8,0.0,4.5,0.0,4.1,0.0,3.6,0.9,4.9
87,2017.10.03,4.3,6.1,5.3,0.0,2.4,0.0,2.1,0.0,2.1,0.0,3.8,0.0,4.5,0.0,4.1,0.0,10.1
88,2017.10.04,6.9,0.0,4.3,6.1,5.3,0.0,2.4,0.0,2.1,0.0,2.1,0.0,3.8,0.0,4.5,0.0,10.5
89,2017.10.05,9.9,0.0,6.9,0.0,4.3,6.1,5.3,0.0,2.4,0.0,2.1,0.0,2.1,0.0,3.8,0.0,10.5
90,2017.10.06,7.7,0.0,9.9,0.0,6.9,0.0,4.3,6.1,5.3,0.0,2.4,0.0,2.1,0.0,2.1,0.0,8.3
91,2017.10.07,6.4,0.0,7.7,0.0,9.9,0.0,6.9,0.0,4.3,6.1,5.3,0.0,2.4,0.0,2.1,0.0,6.8
92,2017.10.08,7.6,0.1,6.4,0.0,7.7,0.0,9.9,0.0,6.9,0.0,4.3,6.1,5.3,0.0,2.4,0.0,9.1
93,2017.10.09,5.4,0.1,7.6,0.1,6.4,0.0,7.7,0.0,9.9,0.0,6.9,0.0,4.3,6.1,5.3,0.0,8.2
94,2017.10.10,4.5,0.2,5.4,0.1,7.6,0.1,6.4,0.0,7.7,0.0,9.9,0.0,6.9,0.0,4.3,6.1,10.6
95,2017.10.11,4.5,0.4,4.5,0.2,5.4,0.1,7.6,0.1,6.4,0.0,7.7,0.0,9.9,0.0,6.9,0.0,8.2
96,2017.10.12,5.0,0.0,4.5,0.4,4.5,0.2,5.4,0.1,7.6,0.1,6.4,0.0,7.7,0.0,9.9,0.0,11.0
97,2017.10.13,5.4,0.0,5.0,0.0,4.5,0.4,4.5,0.2,5.4,0.1,7.6,0.1,6.4,0.0,7.7,0.0,9.0
98,2017.10.14,3.1,0.0,5.4,0.0,5.0,0.0,4.5,0.4,4.5,0.2,5.4,0.1,7.6,0.1,6.4,0.0,9.0
99,2017.10.15,2.8,0.0,3.1,0.0,5.4,0.0,5.0,0.0,4.5,0.4,4.5,0.2,5.4,0.1,7.6,0.1,9.7
100,2017.10.16,2.0,0.0,2.8,0.0,3.1,0.0,5.4,0.0,5.0,0.0,4.5,0.4,4.5,0.2,5.4,0.1,9.6
101,2017.10.17,2.9,0.0,2.0,0.0,2.8,0.0,3.1,0.0,5.4,0.0,5.0,0.0,4.5,0.4,4.5,0.2,10.8
102,2017.10.18,3.0,0.0,2.9,0.0,2.0,0.0,2.8,0.0,3.1,0.0,5.4,0.0,5.0,0.0,4.5,0.4,8.0
103,2017.10.19,2.0,0.0,3.0,0.0,2.9,0.0,2.0,0.0,2.8,0.0,3.1,0.0,5.4,0.0,5.0,0.0,7.7
104,2017.10.20,2.3,0.0,2.0,0.0,3.0,0.0,2.9,0.0,2.0,0.0,2.8,0.0,3.1,0.0,5.4,0.0,7.7
105,2017.10.21,2.0,0.0,2.3,0.0,2.0,0.0,3.0,0.0,2.9,0.0,2.0,0.0,2.8,0.0,3.1,0.0,8.6
106,2017.10.22,4.8,5.8,2.0,0.0,2.3,0.0,2.0,0.0,3.0,0.0,2.9,0.0,2.0,0.0,2.8,0.0,9.3
107,2017.10.23,7.3,44.8,4.8,5.8,2.0,0.0,2.3,0.0,2.0,0.0,3.0,0.0,2.9,0.0,2.0,0.0,5.0
108,2017.10.24,6.8,0.0,7.3,44.8,4.8,5.8,2.0,0.0,2.3,0.0,2.0,0.0,3.0,0.0,2.9,0.0,2.8
109,2017.10.25,3.6,0.2,6.8,0.0,7.3,44.8,4.8,5.8,2.0,0.0,2.3,0.0,2.0,0.0,3.0,0.0,6.1
110,2017.10.26,3.8,0.0,3.6,0.2,6.8,0.0,7.3,44.8,4.8,5.8,2.0,0.0,2.3,0.0,2.0,0.0,8.8
111,2017.10.27,8.4,1.3,3.8,0.0,3.6,0.2,6.8,0.0,7.3,44.8,4.8,5.8,2.0,0.0,2.3,0.0,6.1
112,2017.10.28,8.1,0.2,8.4,1.3,3.8,0.0,3.6,0.2,6.8,0.0,7.3,44.8,4.8,5.8,2.0,0.0,5.4
113,2017.10.29,14.4,8.5,8.1,0.2,8.4,1.3,3.8,0.0,3.6,0.2,6.8,0.0,7.3,44.8,4.8,5.8,4.2
114,2017.10.30,9.1,0.1,14.4,8.5,8.1,0.2,8.4,1.3,3.8,0.0,3.6,0.2,6.8,0.0,7.3,44.8,2.9
115,2017.10.31,6.1,0.0,9.1,0.1,14.4,8.5,8.1,0.2,8.4,1.3,3.8,0.0,3.6,0.2,6.8,0.0,0.5
116,2017.11.01,4.1,0.0,6.1,0.0,9.1,0.1,14.4,8.5,8.1,0.2,8.4,1.3,3.8,0.0,3.6,0.2,3.2
117,2017.11.02,5.0,0.0,4.1,0.0,6.1,0.0,9.1,0.1,14.4,8.5,8.1,0.2,8.4,1.3,3.8,0.0,3.9
118,2017.11.03,5.6,0.1,5.0,0.0,4.1,0.0,6.1,0.0,9.1,0.1,14.4,8.5,8.1,0.2,8.4,1.3,1.3
119,2017.11.04,3.4,0.0,5.6,0.1,5.0,0.0,4.1,0.0,6.1,0.0,9.1,0.1,14.4,8.5,8.1,0.2,4.9
120,2017.11.05,4.5,0.7,3.4,0.0,5.6,0.1,5.0,0.0,4.1,0.0,6.1,0.0,9.1,0.1,14.4,8.5,5.8
121,2017.11.06,5.6,0.1,4.5,0.7,3.4,0.0,5.6,0.1,5.0,0.0,4.1,0.0,6.1,0.0,9.1,0.1,2.9
122,2017.11.07,5.0,1.9,5.6,0.1,4.5,0.7,3.4,0.0,5.6,0.1,5.0,0.0,4.1,0.0,6.1,0.0,6.2
123,2017.11.08,4.4,1.9,5.0,1.9,5.6,0.1,4.5,0.7,3.4,0.0,5.6,0.1,5.0,0.0,4.1,0.0,7.0
124,2017.11.09,3.2,2.1,4.4,1.9,5.0,1.9,5.6,0.1,4.5,0.7,3.4,0.0,5.6,0.1,5.0,0.0,3.1
125,2017.11.10,3.4,0.8,3.2,2.1,4.4,1.9,5.0,1.9,5.6,0.1,4.5,0.7,3.4,0.0,5.6,0.1,4.6
126,2017.11.11,4.7,0.3,3.4,0.8,3.2,2.1,4.4,1.9,5.0,1.9,5.6,0.1,4.5,0.7,3.4,0.0,4.3
127,2017.11.12,6.5,5.3,4.7,0.3,3.4,0.8,3.2,2.1,4.4,1.9,5.0,1.9,5.6,0.1,4.5,0.7,5.1
128,2017.11.13,6.3,13.8,6.5,5.3,4.7,0.3,3.4,0.8,3.2,2.1,4.4,1.9,5.0,1.9,5.6,0.1,2.7
129,2017.11.14,5.3,3.6,6.3,13.8,6.5,5.3,4.7,0.3,3.4,0.8,3.2,2.1,4.4,1.9,5.0,1.9,-3.1
130,2017.11.15,2.9,0.0,5.3,3.6,6.3,13.8,6.5,5.3,4.7,0.3,3.4,0.8,3.2,2.1,4.4,1.9,0.7
131,2017.11.16,2.2,0.0,2.9,0.0,5.3,3.6,6.3,13.8,6.5,5.3,4.7,0.3,3.4,0.8,3.2,2.1,-0.1
132,2017.11.17,2.6,0.1,2.2,0.0,2.9,0.0,5.3,3.6,6.3,13.8,6.5,5.3,4.7,0.3,3.4,0.8,-0.0
133,2017.11.18,4.7,5.0,2.6,0.1,2.2,0.0,2.9,0.0,5.3,3.6,6.3,13.8,6.5,5.3,4.7,0.3,-0.1
134,2017.11.19,4.5,0.7,4.7,5.0,2.6,0.1,2.2,0.0,2.9,0.0,5.3,3.6,6.3,13.8,6.5,5.3,2.2
135,2017.11.20,6.9,0.5,4.5,0.7,4.7,5.0,2.6,0.1,2.2,0.0,2.9,0.0,5.3,3.6,6.3,13.8,1.5
136,2017.11.21,7.6,2.0,6.9,0.5,4.5,0.7,4.7,5.0,2.6,0.1,2.2,0.0,2.9,0.0,5.3,3.6,3.0
137,2017.11.22,4.4,0.6,7.6,2.0,6.9,0.5,4.5,0.7,4.7,5.0,2.6,0.1,2.2,0.0,2.9,0.0,-0.2
138,2017.11.23,2.2,0.2,4.4,0.6,7.6,2.0,6.9,0.5,4.5,0.7,4.7,5.0,2.6,0.1,2.2,0.0,2.4
139,2017.11.24,2.4,0.2,2.2,0.2,4.4,0.6,7.6,2.0,6.9,0.5,4.5,0.7,4.7,5.0,2.6,0.1,5.1
140,2017.11.25,6.1,0.5,2.4,0.2,2.2,0.2,4.4,0.6,7.6,2.0,6.9,0.5,4.5,0.7,4.7,5.0,2.3
141,2017.11.26,7.7,8.7,6.1,0.5,2.4,0.2,2.2,0.2,4.4,0.6,7.6,2.0,6.9,0.5,4.5,0.7,-0.3
142,2017.11.27,6.6,0.0,7.7,8.7,6.1,0.5,2.4,0.2,2.2,0.2,4.4,0.6,7.6,2.0,6.9,0.5,-3.0
143,2017.11.28,3.4,0.0,6.6,0.0,7.7,8.7,6.1,0.5,2.4,0.2,2.2,0.2,4.4,0.6,7.6,2.0,-2.0
144,2017.11.29,5.3,3.2,3.4,0.0,6.6,0.0,7.7,8.7,6.1,0.5,2.4,0.2,2.2,0.2,4.4,0.6,0.8
145,2017.11.30,7.7,23.5,5.3,3.2,3.4,0.0,6.6,0.0,7.7,8.7,6.1,0.5,2.4,0.2,2.2,0.2,-3.9
146,2017.12.01,3.8,0.0,7.7,23.5,5.3,3.2,3.4,0.0,6.6,0.0,7.7,8.7,6.1,0.5,2.4,0.2,-5.9
147,2017.12.02,2.8,0.1,3.8,0.0,7.7,23.5,5.3,3.2,3.4,0.0,6.6,0.0,7.7,8.7,6.1,0.5,-5.6
148,2017.12.03,3.8,0.2,2.8,0.1,3.8,0.0,7.7,23.5,5.3,3.2,3.4,0.0,6.6,0.0,7.7,8.7,-3.7
149,2017.12.04,6.4,0.6,3.8,0.2,2.8,0.1,3.8,0.0,7.7,23.5,5.3,3.2,3.4,0.0,6.6,0.0,-0.5
150,2017.12.05,6.4,0.3,6.4,0.6,3.8,0.2,2.8,0.1,3.8,0.0,7.7,23.5,5.3,3.2,3.4,0.0,-0.1
151,2017.12.06,7.4,0.0,6.4,0.3,6.4,0.6,3.8,0.2,2.8,0.1,3.8,0.0,7.7,23.5,5.3,3.2,-2.7
152,2017.12.07,4.6,0.0,7.4,0.0,6.4,0.3,6.4,0.6,3.8,0.2,2.8,0.1,3.8,0.0,7.7,23.5,-2.9
153,2017.12.08,8.3,12.0,4.6,0.0,7.4,0.0,6.4,0.3,6.4,0.6,3.8,0.2,2.8,0.1,3.8,0.0,0.1
154,2017.12.09,8.4,1.0,8.3,12.0,4.6,0.0,7.4,0.0,6.4,0.3,6.4,0.6,3.8,0.2,2.8,0.1,-2.8
155,2017.12.10,9.1,1.2,8.4,1.0,8.3,12.0,4.6,0.0,7.4,0.0,6.4,0.3,6.4,0.6,3.8,0.2,2.3
156,2017.12.11,8.9,5.9,9.1,1.2,8.4,1.0,8.3,12.0,4.6,0.0,7.4,0.0,6.4,0.3,6.4,0.6,10.0
157,2017.12.12,8.7,3.8,8.9,5.9,9.1,1.2,8.4,1.0,8.3,12.0,4.6,0.0,7.4,0.0,6.4,0.3,0.9
158,2017.12.13,5.8,2.0,8.7,3.8,8.9,5.9,9.1,1.2,8.4,1.0,8.3,12.0,4.6,0.0,7.4,0.0,-1.8
159,2017.12.14,5.6,5.5,5.8,2.0,8.7,3.8,8.9,5.9,9.1,1.2,8.4,1.0,8.3,12.0,4.6,0.0,3.0
160,2017.12.15,7.0,27.6,5.6,5.5,5.8,2.0,8.7,3.8,8.9,5.9,9.1,1.2,8.4,1.0,8.3,12.0,0.9
161,2017.12.16,4.7,3.8,7.0,27.6,5.6,5.5,5.8,2.0,8.7,3.8,8.9,5.9,9.1,1.2,8.4,1.0,-2.3
162,2017.12.17,5.5,0.0,4.7,3.8,7.0,27.6,5.6,5.5,5.8,2.0,8.7,3.8,8.9,5.9,9.1,1.2,-5.1
163,2017.12.18,2.2,0.2,5.5,0.0,4.7,3.8,7.0,27.6,5.6,5.5,5.8,2.0,8.7,3.8,8.9,5.9,-5.6
164,2017.12.19,2.1,0.2,2.2,0.2,5.5,0.0,4.7,3.8,7.0,27.6,5.6,5.5,5.8,2.0,8.7,3.8,-7.2
165,2017.12.20,2.0,0.2,2.1,0.2,2.2,0.2,5.5,0.0,4.7,3.8,7.0,27.6,5.6,5.5,5.8,2.0,-8.8
166,2017.12.21,3.6,0.6,2.0,0.2,2.1,0.2,2.2,0.2,5.5,0.0,4.7,3.8,7.0,27.6,5.6,5.5,-1.8
167,2017.12.22,5.7,0.0,3.6,0.6,2.0,0.2,2.1,0.2,2.2,0.2,5.5,0.0,4.7,3.8,7.0,27.6,-1.1
168,2017.12.23,7.5,0.2,5.7,0.0,3.6,0.6,2.0,0.2,2.1,0.2,2.2,0.2,5.5,0.0,4.7,3.8,2.9
169,2017.12.24,8.6,0.2,7.5,0.2,5.7,0.0,3.6,0.6,2.0,0.2,2.1,0.2,2.2,0.2,5.5,0.0,-2.6
170,2017.12.25,4.7,0.0,8.6,0.2,7.5,0.2,5.7,0.0,3.6,0.6,2.0,0.2,2.1,0.2,2.2,0.2,-0.5
171,2017.12.26,6.7,0.1,4.7,0.0,8.6,0.2,7.5,0.2,5.7,0.0,3.6,0.6,2.0,0.2,2.1,0.2,1.8
172,2017.12.27,7.2,0.0,6.7,0.1,4.7,0.0,8.6,0.2,7.5,0.2,5.7,0.0,3.6,0.6,2.0,0.2,2.2
173,2017.12.28,7.5,7.0,7.2,0.0,6.7,0.1,4.7,0.0,8.6,0.2,7.5,0.2,5.7,0.0,3.6,0.6,-1.8
174,2017.12.29,9.5,0.4,7.5,7.0,7.2,0.0,6.7,0.1,4.7,0.0,8.6,0.2,7.5,0.2,5.7,0.0,-4.3
175,2017.12.30,5.3,0.2,9.5,0.4,7.5,7.0,7.2,0.0,6.7,0.1,4.7,0.0,8.6,0.2,7.5,0.2,-0.3
176,2017.12.31,5.0,3.9,5.3,0.2,9.5,0.4,7.5,7.0,7.2,0.0,6.7,0.1,4.7,0.0,8.6,0.2,1.6
