,Date,Wind_m/s,Precipitation_mm,Wind_m/s1,Precipitation_mm1,Wind_m/s2,Precipitation_mm2,Target: Mean_temp
83,2017.09.24,5.8,0.2,7.7,16.9,7.0,0.4,13.899999999999999
84,2017.09.25,3.6,0.9,5.8,0.2,7.7,16.9,14.35
85,2017.09.26,4.1,0.0,3.6,0.9,5.8,0.2,14.399999999999999
86,2017.09.27,4.5,0.0,4.1,0.0,3.6,0.9,12.3
87,2017.09.28,3.8,0.0,4.5,0.0,4.1,0.0,11.15
88,2017.09.29,2.1,0.0,3.8,0.0,4.5,0.0,10.6
89,2017.09.30,2.1,0.0,2.1,0.0,3.8,0.0,10.45
90,2017.10.01,2.4,0.0,2.1,0.0,2.1,0.0,10.05
91,2017.10.02,5.3,0.0,2.4,0.0,2.1,0.0,10.25
92,2017.10.03,4.3,6.1,5.3,0.0,2.4,0.0,13.100000000000001
93,2017.10.04,6.9,0.0,4.3,6.1,5.3,0.0,15.05
94,2017.10.05,9.9,0.0,6.9,0.0,4.3,6.1,12.7
95,2017.10.06,7.7,0.0,9.9,0.0,6.9,0.0,11.55
96,2017.10.07,6.4,0.0,7.7,0.0,9.9,0.0,10.8
97,2017.10.08,7.6,0.1,6.4,0.0,7.7,0.0,11.35
98,2017.10.09,5.4,0.1,7.6,0.1,6.4,0.0,12.1
99,2017.10.10,4.5,0.2,5.4,0.1,7.6,0.1,14.2
100,2017.10.11,4.5,0.4,4.5,0.2,5.4,0.1,14.25
101,2017.10.12,5.0,0.0,4.5,0.4,4.5,0.2,14.3
102,2017.10.13,5.4,0.0,5.0,0.0,4.5,0.4,13.7
103,2017.10.14,3.1,0.0,5.4,0.0,5.0,0.0,14.75
104,2017.10.15,2.8,0.0,3.1,0.0,5.4,0.0,15.35
105,2017.10.16,2.0,0.0,2.8,0.0,3.1,0.0,15.5
106,2017.10.17,2.9,0.0,2.0,0.0,2.8,0.0,15.65
107,2017.10.18,3.0,0.0,2.9,0.0,2.0,0.0,13.4
108,2017.10.19,2.0,0.0,3.0,0.0,2.9,0.0,13.549999999999999
109,2017.10.20,2.3,0.0,2.0,0.0,3.0,0.0,12.299999999999999
110,2017.10.21,2.0,0.0,2.3,0.0,2.0,0.0,12.5
111,2017.10.22,4.8,5.8,2.0,0.0,2.3,0.0,9.95
112,2017.10.23,7.3,44.8,4.8,5.8,2.0,0.0,9.05
113,2017.10.24,6.8,0.0,7.3,44.8,4.8,5.8,7.5
114,2017.10.25,3.6,0.2,6.8,0.0,7.3,44.8,10.7
115,2017.10.26,3.8,0.0,3.6,0.2,6.8,0.0,11.7
116,2017.10.27,8.4,1.3,3.8,0.0,3.6,0.2,8.05
117,2017.10.28,8.1,0.2,8.4,1.3,3.8,0.0,7.8
118,2017.10.29,14.4,8.5,8.1,0.2,8.4,1.3,6.1
119,2017.10.30,9.1,0.1,14.4,8.5,8.1,0.2,5.65
120,2017.10.31,6.1,0.0,9.1,0.1,14.4,8.5,5.25
121,2017.11.01,4.1,0.0,6.1,0.0,9.1,0.1,7.4
122,2017.11.02,5.0,0.0,4.1,0.0,6.1,0.0,7.65
123,2017.11.03,5.6,0.1,5.0,0.0,4.1,0.0,6.3500000000000005
124,2017.11.04,3.4,0.0,5.6,0.1,5.0,0.0,8.3
125,2017.11.05,4.5,0.7,3.4,0.0,5.6,0.1,9.25
126,2017.11.06,5.6,0.1,4.5,0.7,3.4,0.0,7.05
127,2017.11.07,5.0,1.9,5.6,0.1,4.5,0.7,8.3
128,2017.11.08,4.4,1.9,5.0,1.9,5.6,0.1,8.4
129,2017.11.09,3.2,2.1,4.4,1.9,5.0,1.9,5.85
130,2017.11.10,3.4,0.8,3.2,2.1,4.4,1.9,7.55
131,2017.11.11,4.7,0.3,3.4,0.8,3.2,2.1,7.0
132,2017.11.12,6.5,5.3,4.7,0.3,3.4,0.8,7.1
133,2017.11.13,6.3,13.8,6.5,5.3,4.7,0.3,4.95
134,2017.11.14,5.3,3.6,6.3,13.8,6.5,5.3,1.3499999999999999
135,2017.11.15,2.9,0.0,5.3,3.6,6.3,13.8,3.5500000000000003
136,2017.11.16,2.2,0.0,2.9,0.0,5.3,3.6,3.0500000000000003
137,2017.11.17,2.6,0.1,2.2,0.0,2.9,0.0,2.65
138,2017.11.18,4.7,5.0,2.6,0.1,2.2,0.0,3.0
139,2017.11.19,4.5,0.7,4.7,5.0,2.6,0.1,4.050000000000001
140,2017.11.20,6.9,0.5,4.5,0.7,4.7,5.0,4.65
141,2017.11.21,7.6,2.0,6.9,0.5,4.5,0.7,6.05
142,2017.11.22,4.4,0.6,7.6,2.0,6.9,0.5,4.1000000000000005
143,2017.11.23,2.2,0.2,4.4,0.6,7.6,2.0,5.1
144,2017.11.24,2.4,0.2,2.2,0.2,4.4,0.6,6.95
145,2017.11.25,6.1,0.5,2.4,0.2,2.2,0.2,4.3
146,2017.11.26,7.7,8.7,6.1,0.5,2.4,0.2,2.35
147,2017.11.27,6.6,0.0,7.7,8.7,6.1,0.5,0.7000000000000002
148,2017.11.28,3.4,0.0,6.6,0.0,7.7,8.7,0.050000000000000044
149,2017.11.29,5.3,3.2,3.4,0.0,6.6,0.0,2.25
150,2017.11.30,7.7,23.5,5.3,3.2,3.4,0.0,-0.3999999999999999
151,2017.12.01,3.8,0.0,7.7,23.5,5.3,3.2,-3.0
152,2017.12.02,2.8,0.1,3.8,0.0,7.7,23.5,-3.4499999999999997
153,2017.12.03,3.8,0.2,2.8,0.1,3.8,0.0,-1.1
154,2017.12.04,6.4,0.6,3.8,0.2,2.8,0.1,1.15
155,2017.12.05,6.4,0.3,6.4,0.6,3.8,0.2,1.5999999999999999
156,2017.12.06,7.4,0.0,6.4,0.3,6.4,0.6,1.0
157,2017.12.07,4.6,0.0,7.4,0.0,6.4,0.3,2.3499999999999996
158,2017.12.08,8.3,12.0,4.6,0.0,7.4,0.0,1.3
159,2017.12.09,8.4,1.0,8.3,12.0,4.6,0.0,-0.1499999999999999
160,2017.12.10,9.1,1.2,8.4,1.0,8.3,12.0,6.35
161,2017.12.11,8.9,5.9,9.1,1.2,8.4,1.0,11.85
162,2017.12.12,8.7,3.8,8.9,5.9,9.1,1.2,2.95
163,2017.12.13,5.8,2.0,8.7,3.8,8.9,5.9,1.85
164,2017.12.14,5.6,5.5,5.8,2.0,8.7,3.8,5.85
165,2017.12.15,7.0,27.6,5.6,5.5,5.8,2.0,3.2
166,2017.12.16,4.7,3.8,7.0,27.6,5.6,5.5,0.3500000000000001
167,2017.12.17,5.5,0.0,4.7,3.8,7.0,27.6,-2.25
168,2017.12.18,2.2,0.2,5.5,0.0,4.7,3.8,-3.3
169,2017.12.19,2.1,0.2,2.2,0.2,5.5,0.0,-4.8
170,2017.12.20,2.0,0.2,2.1,0.2,2.2,0.2,-5.300000000000001
171,2017.12.21,3.6,0.6,2.0,0.2,2.1,0.2,0.7999999999999999
172,2017.12.22,5.7,0.0,3.6,0.6,2.0,0.2,0.8999999999999999
173,2017.12.23,7.5,0.2,5.7,0.0,3.6,0.6,5.3
174,2017.12.24,8.6,0.2,7.5,0.2,5.7,0.0,1.8
175,2017.12.25,4.7,0.0,8.6,0.2,7.5,0.2,3.8499999999999996
176,2017.12.26,6.7,0.1,4.7,0.0,8.6,0.2,4.9
177,2017.12.27,7.2,0.0,6.7,0.1,4.7,0.0,4.75
178,2017.12.28,7.5,7.0,7.2,0.0,6.7,0.1,0.29999999999999993
179,2017.12.29,9.5,0.4,7.5,7.0,7.2,0.0,-1.15
180,2017.12.30,5.3,0.2,9.5,0.4,7.5,7.0,2.0500000000000003
181,2017.12.31,5.0,3.9,5.3,0.2,9.5,0.4,4.3
182,2018.01.01,5.0,0.3,5.0,3.9,5.3,0.2,3.0
183,2018.01.02,7.8,8.7,5.0,0.3,5.0,3.9,1.5499999999999998
184,2018.01.03,7.4,6.1,7.8,8.7,5.0,0.3,5.25
185,2018.01.04,6.2,0.3,7.4,6.1,7.8,8.7,5.75
186,2018.01.05,3.5,1.1,6.2,0.3,7.4,6.1,9.45
187,2018.01.06,4.7,0.4,3.5,1.1,6.2,0.3,6.8
188,2018.01.07,3.2,0.1,4.7,0.4,3.5,1.1,7.0
189,2018.01.08,4.0,0.3,3.2,0.1,4.7,0.4,6.050000000000001
190,2018.01.09,5.5,0.0,4.0,0.3,3.2,0.1,4.550000000000001
191,2018.01.10,6.3,1.3,5.5,0.0,4.0,0.3,4.5
192,2018.01.11,3.0,3.1,6.3,1.3,5.5,0.0,3.5999999999999996
193,2018.01.12,3.9,4.0,3.0,3.1,6.3,1.3,0.85
194,2018.01.13,7.6,2.6,3.9,4.0,3.0,3.1,-2.0
195,2018.01.14,5.0,3.6,7.6,2.6,3.9,4.0,-3.8
196,2018.01.15,2.9,0.9,5.0,3.6,7.6,2.6,-1.2000000000000002
197,2018.01.16,5.4,2.7,2.9,0.9,5.0,3.6,-0.8500000000000001
198,2018.01.17,8.4,0.0,5.4,2.7,2.9,0.9,1.25
199,2018.01.18,7.3,0.3,8.4,0.0,5.4,2.7,2.15
200,2018.01.19,7.1,1.2,7.3,0.3,8.4,0.0,-0.4999999999999998
201,2018.01.20,3.8,0.1,7.1,1.2,7.3,0.3,0.0
202,2018.01.21,9.4,6.2,3.8,0.1,7.1,1.2,-1.0499999999999998
203,2018.01.22,7.1,0.0,9.4,6.2,3.8,0.1,-4.3
204,2018.01.23,2.0,0.7,7.1,0.0,9.4,6.2,-7.4
205,2018.01.24,2.8,0.3,2.0,0.7,7.1,0.0,-2.25
206,2018.01.25,4.6,1.4,2.8,0.3,2.0,0.7,-2.4499999999999997
207,2018.01.26,3.8,0.0,4.6,1.4,2.8,0.3,-1.15
208,2018.01.27,3.0,0.1,3.8,0.0,4.6,1.4,0.55
209,2018.01.28,3.7,0.1,3.0,0.1,3.8,0.0,4.7
210,2018.01.29,4.8,0.1,3.7,0.1,3.0,0.1,2.8499999999999996
211,2018.01.30,7.8,0.0,4.8,0.1,3.7,0.1,1.25
212,2018.01.31,4.1,0.1,7.8,0.0,4.8,0.1,6.050000000000001
213,2018.02.01,7.4,6.9,4.1,0.1,7.8,0.0,6.35
214,2018.02.02,4.7,7.5,7.4,6.9,4.1,0.1,1.3
215,2018.02.03,7.6,13.5,4.7,7.5,7.4,6.9,0.25
216,2018.02.04,6.9,0.0,7.6,13.5,4.7,7.5,-1.2500000000000002
217,2018.02.05,1.7,0.1,6.9,0.0,7.6,13.5,-0.9
218,2018.02.06,4.2,1.6,1.7,0.1,6.9,0.0,-0.5
219,2018.02.07,5.7,3.6,4.2,1.6,1.7,0.1,1.45
220,2018.02.08,4.8,7.4,5.7,3.6,4.2,1.6,-0.7
221,2018.02.09,3.6,0.4,4.8,7.4,5.7,3.6,-0.55
222,2018.02.10,2.1,0.6,3.6,0.4,4.8,7.4,-1.4500000000000002
223,2018.02.11,2.0,0.2,2.1,0.6,3.6,0.4,-0.10000000000000009
224,2018.02.12,2.0,0.2,2.0,0.2,2.1,0.6,0.30000000000000004
225,2018.02.13,5.0,1.1,2.0,0.2,2.0,0.2,0.35
226,2018.02.14,4.5,2.8,5.0,1.1,2.0,0.2,-1.2499999999999998
227,2018.02.15,2.0,0.1,4.5,2.8,5.0,1.1,-2.3
228,2018.02.16,2.1,1.0,2.0,0.1,4.5,2.8,-0.30000000000000004
229,2018.02.17,3.6,2.3,2.1,1.0,2.0,0.1,-0.5
230,2018.02.18,3.2,5.2,3.6,2.3,2.1,1.0,-4.15
231,2018.02.19,3.8,1.6,3.2,5.2,3.6,2.3,-0.35000000000000003
232,2018.02.20,4.3,8.6,3.8,1.6,3.2,5.2,0.39999999999999997
233,2018.02.21,4.5,3.9,4.3,8.6,3.8,1.6,-1.3
234,2018.02.22,6.2,2.3,4.5,3.9,4.3,8.6,-0.75
235,2018.02.23,4.4,0.2,6.2,2.3,4.5,3.9,-4.7
236,2018.02.24,6.2,1.4,4.4,0.2,6.2,2.3,-9.25
237,2018.02.25,5.7,0.0,6.2,1.4,4.4,0.2,-8.7
238,2018.02.26,6.9,0.8,5.7,0.0,6.2,1.4,-8.45
239,2018.02.27,6.6,1.9,6.9,0.8,5.7,0.0,-9.8
240,2018.02.28,3.9,0.2,6.6,1.9,6.9,0.8,-10.15
241,2018.03.01,4.3,0.7,3.9,0.2,6.6,1.9,-8.1
242,2018.03.02,4.7,2.5,4.3,0.7,3.9,0.2,-8.95
243,2018.03.03,3.5,0.1,4.7,2.5,4.3,0.7,-10.100000000000001
244,2018.03.04,4.0,0.1,3.5,0.1,4.7,2.5,-9.899999999999999
245,2018.03.05,4.0,0.4,4.0,0.1,3.5,0.1,-0.09999999999999998
246,2018.03.06,4.7,6.3,4.0,0.4,4.0,0.1,1.7
247,2018.03.07,2.9,0.2,4.7,6.3,4.0,0.4,1.8000000000000003
248,2018.03.08,3.8,1.8,2.9,0.2,4.7,6.3,3.6500000000000004
249,2018.03.09,3.5,0.0,3.8,1.8,2.9,0.2,5.5
250,2018.03.10,5.2,0.5,3.5,0.0,3.8,1.8,8.600000000000001
