,Date,Wind_m/s,Precipitation_mm,Wind_m/s1,Precipitation_mm1,Target: Max_temp
43,2017.08.14,3.4,0.0,8.1,0.0,27.4
44,2017.08.15,3.2,0.0,3.4,0.0,28.0
45,2017.08.16,2.8,0.0,3.2,0.0,30.8
46,2017.08.17,2.4,0.0,2.8,0.0,32.9
47,2017.08.18,3.8,0.0,2.4,0.0,32.7
48,2017.08.19,7.9,0.3,3.8,0.0,20.9
49,2017.08.20,7.2,7.8,7.9,0.3,23.4
50,2017.08.21,6.1,0.0,7.2,7.8,22.5
51,2017.08.22,2.7,0.0,6.1,0.0,23.7
52,2017.08.23,3.5,0.0,2.7,0.0,26.3
53,2017.08.24,2.9,0.1,3.5,0.0,29.5
54,2017.08.25,2.2,0.0,2.9,0.1,30.2
55,2017.08.26,2.6,0.0,2.2,0.0,32.2
56,2017.08.27,4.4,0.0,2.6,0.0,25.3
57,2017.08.28,3.7,0.0,4.4,0.0,25.7
58,2017.08.29,3.0,0.0,3.7,0.0,28.0
59,2017.08.30,3.5,0.0,3.0,0.0,28.5
60,2017.08.31,3.9,0.0,3.5,0.0,31.0
61,2017.09.01,3.8,2.9,3.9,0.0,22.2
62,2017.09.02,4.8,10.9,3.8,2.9,20.2
63,2017.09.03,4.8,2.2,4.8,10.9,18.9
64,2017.09.04,6.7,1.9,4.8,2.2,21.6
65,2017.09.05,5.9,0.0,6.7,1.9,22.2
66,2017.09.06,6.7,2.1,5.9,0.0,19.5
67,2017.09.07,7.4,0.0,6.7,2.1,21.4
68,2017.09.08,3.0,0.0,7.4,0.0,24.5
69,2017.09.09,4.4,1.0,3.0,0.0,26.0
70,2017.09.10,5.4,0.0,4.4,1.0,26.1
71,2017.09.11,4.5,3.4,5.4,0.0,20.1
72,2017.09.12,6.6,1.8,4.5,3.4,22.0
73,2017.09.13,6.6,0.0,6.6,1.8,22.7
74,2017.09.14,9.8,0.8,6.6,0.0,17.3
75,2017.09.15,8.2,0.5,9.8,0.8,19.1
76,2017.09.16,3.6,1.8,8.2,0.5,16.6
77,2017.09.17,8.2,11.6,3.6,1.8,17.3
78,2017.09.18,3.4,0.8,8.2,11.6,14.8
79,2017.09.19,5.3,9.9,3.4,0.8,16.3
80,2017.09.20,2.7,15.0,5.3,9.9,13.8
81,2017.09.21,7.5,5.4,2.7,15.0,17.0
82,2017.09.22,7.0,0.4,7.5,5.4,13.0
83,2017.09.23,7.7,16.9,7.0,0.4,16.7
84,2017.09.24,5.8,0.2,7.7,16.9,16.9
85,2017.09.25,3.6,0.9,5.8,0.2,20.9
86,2017.09.26,4.1,0.0,3.6,0.9,16.7
87,2017.09.27,4.5,0.0,4.1,0.0,16.6
88,2017.09.28,3.8,0.0,4.5,0.0,16.8
89,2017.09.29,2.1,0.0,3.8,0.0,16.9
90,2017.09.30,2.1,0.0,2.1,0.0,16.2
91,2017.10.01,2.4,0.0,2.1,0.0,17.0
92,2017.10.02,5.3,0.0,2.4,0.0,15.6
93,2017.10.03,4.3,6.1,5.3,0.0,16.1
94,2017.10.04,6.9,0.0,4.3,6.1,19.6
95,2017.10.05,9.9,0.0,6.9,0.0,14.9
96,2017.10.06,7.7,0.0,9.9,0.0,14.8
97,2017.10.07,6.4,0.0,7.7,0.0,14.8
98,2017.10.08,7.6,0.1,6.4,0.0,13.6
99,2017.10.09,5.4,0.1,7.6,0.1,16.0
100,2017.10.10,4.5,0.2,5.4,0.1,17.8
101,2017.10.11,4.5,0.4,4.5,0.2,20.3
102,2017.10.12,5.0,0.0,4.5,0.4,17.6
103,2017.10.13,5.4,0.0,5.0,0.0,18.4
104,2017.10.14,3.1,0.0,5.4,0.0,20.5
105,2017.10.15,2.8,0.0,3.1,0.0,21.0
106,2017.10.16,2.0,0.0,2.8,0.0,21.4
107,2017.10.17,2.9,0.0,2.0,0.0,20.5
108,2017.10.18,3.0,0.0,2.9,0.0,18.8
109,2017.10.19,2.0,0.0,3.0,0.0,19.4
110,2017.10.20,2.3,0.0,2.0,0.0,16.9
111,2017.10.21,2.0,0.0,2.3,0.0,16.4
112,2017.10.22,4.8,5.8,2.0,0.0,10.6
113,2017.10.23,7.3,44.8,4.8,5.8,13.1
114,2017.10.24,6.8,0.0,7.3,44.8,12.2
115,2017.10.25,3.6,0.2,6.8,0.0,15.3
116,2017.10.26,3.8,0.0,3.6,0.2,14.6
117,2017.10.27,8.4,1.3,3.8,0.0,10.0
118,2017.10.28,8.1,0.2,8.4,1.3,10.2
119,2017.10.29,14.4,8.5,8.1,0.2,8.0
120,2017.10.30,9.1,0.1,14.4,8.5,8.4
121,2017.10.31,6.1,0.0,9.1,0.1,10.0
122,2017.11.01,4.1,0.0,6.1,0.0,11.6
123,2017.11.02,5.0,0.0,4.1,0.0,11.4
124,2017.11.03,5.6,0.1,5.0,0.0,11.4
125,2017.11.04,3.4,0.0,5.6,0.1,11.7
126,2017.11.05,4.5,0.7,3.4,0.0,12.7
127,2017.11.06,5.6,0.1,4.5,0.7,11.2
128,2017.11.07,5.0,1.9,5.6,0.1,10.4
129,2017.11.08,4.4,1.9,5.0,1.9,9.8
130,2017.11.09,3.2,2.1,4.4,1.9,8.6
131,2017.11.10,3.4,0.8,3.2,2.1,10.5
132,2017.11.11,4.7,0.3,3.4,0.8,9.7
133,2017.11.12,6.5,5.3,4.7,0.3,9.1
134,2017.11.13,6.3,13.8,6.5,5.3,7.2
135,2017.11.14,5.3,3.6,6.3,13.8,5.8
136,2017.11.15,2.9,0.0,5.3,3.6,6.4
137,2017.11.16,2.2,0.0,2.9,0.0,6.2
138,2017.11.17,2.6,0.1,2.2,0.0,5.3
139,2017.11.18,4.7,5.0,2.6,0.1,6.1
140,2017.11.19,4.5,0.7,4.7,5.0,5.9
141,2017.11.20,6.9,0.5,4.5,0.7,7.8
142,2017.11.21,7.6,2.0,6.9,0.5,9.1
143,2017.11.22,4.4,0.6,7.6,2.0,8.4
144,2017.11.23,2.2,0.2,4.4,0.6,7.8
145,2017.11.24,2.4,0.2,2.2,0.2,8.8
146,2017.11.25,6.1,0.5,2.4,0.2,6.3
147,2017.11.26,7.7,8.7,6.1,0.5,5.0
148,2017.11.27,6.6,0.0,7.7,8.7,4.4
149,2017.11.28,3.4,0.0,6.6,0.0,2.1
150,2017.11.29,5.3,3.2,3.4,0.0,3.7
151,2017.11.30,7.7,23.5,5.3,3.2,3.1
152,2017.12.01,3.8,0.0,7.7,23.5,-0.1
153,2017.12.02,2.8,0.1,3.8,0.0,-1.3
154,2017.12.03,3.8,0.2,2.8,0.1,1.5
155,2017.12.04,6.4,0.6,3.8,0.2,2.8
156,2017.12.05,6.4,0.3,6.4,0.6,3.3
157,2017.12.06,7.4,0.0,6.4,0.3,4.7
158,2017.12.07,4.6,0.0,7.4,0.0,7.6
159,2017.12.08,8.3,12.0,4.6,0.0,2.5
160,2017.12.09,8.4,1.0,8.3,12.0,2.5
161,2017.12.10,9.1,1.2,8.4,1.0,10.4
162,2017.12.11,8.9,5.9,9.1,1.2,13.7
163,2017.12.12,8.7,3.8,8.9,5.9,5.0
164,2017.12.13,5.8,2.0,8.7,3.8,5.5
165,2017.12.14,5.6,5.5,5.8,2.0,8.7
166,2017.12.15,7.0,27.6,5.6,5.5,5.5
167,2017.12.16,4.7,3.8,7.0,27.6,3.0
168,2017.12.17,5.5,0.0,4.7,3.8,0.6
169,2017.12.18,2.2,0.2,5.5,0.0,-1.0
170,2017.12.19,2.1,0.2,2.2,0.2,-2.4
171,2017.12.20,2.0,0.2,2.1,0.2,-1.8
172,2017.12.21,3.6,0.6,2.0,0.2,3.4
173,2017.12.22,5.7,0.0,3.6,0.6,2.9
174,2017.12.23,7.5,0.2,5.7,0.0,7.7
175,2017.12.24,8.6,0.2,7.5,0.2,6.2
176,2017.12.25,4.7,0.0,8.6,0.2,8.2
177,2017.12.26,6.7,0.1,4.7,0.0,8.0
178,2017.12.27,7.2,0.0,6.7,0.1,7.3
179,2017.12.28,7.5,7.0,7.2,0.0,2.4
180,2017.12.29,9.5,0.4,7.5,7.0,2.0
181,2017.12.30,5.3,0.2,9.5,0.4,4.4
182,2017.12.31,5.0,3.9,5.3,0.2,7.0
183,2018.01.01,5.0,0.3,5.0,3.9,4.8
184,2018.01.02,7.8,8.7,5.0,0.3,4.1
185,2018.01.03,7.4,6.1,7.8,8.7,7.7
186,2018.01.04,6.2,0.3,7.4,6.1,8.6
187,2018.01.05,3.5,1.1,6.2,0.3,12.5
188,2018.01.06,4.7,0.4,3.5,1.1,9.6
189,2018.01.07,3.2,0.1,4.7,0.4,8.3
190,2018.01.08,4.0,0.3,3.2,0.1,7.4
191,2018.01.09,5.5,0.0,4.0,0.3,5.4
192,2018.01.10,6.3,1.3,5.5,0.0,6.2
193,2018.01.11,3.0,3.1,6.3,1.3,4.6
194,2018.01.12,3.9,4.0,3.0,3.1,2.4
195,2018.01.13,7.6,2.6,3.9,4.0,-0.6
196,2018.01.14,5.0,3.6,7.6,2.6,-2.4
197,2018.01.15,2.9,0.9,5.0,3.6,1.3
198,2018.01.16,5.4,2.7,2.9,0.9,3.0
199,2018.01.17,8.4,0.0,5.4,2.7,3.5
200,2018.01.18,7.3,0.3,8.4,0.0,4.6
201,2018.01.19,7.1,1.2,7.3,0.3,3.1
202,2018.01.20,3.8,0.1,7.1,1.2,2.2
203,2018.01.21,9.4,6.2,3.8,0.1,1.3
204,2018.01.22,7.1,0.0,9.4,6.2,-0.7
205,2018.01.23,2.0,0.7,7.1,0.0,-2.3
206,2018.01.24,2.8,0.3,2.0,0.7,1.4
207,2018.01.25,4.6,1.4,2.8,0.3,0.2
208,2018.01.26,3.8,0.0,4.6,1.4,2.0
209,2018.01.27,3.0,0.1,3.8,0.0,3.9
210,2018.01.28,3.7,0.1,3.0,0.1,8.5
211,2018.01.29,4.8,0.1,3.7,0.1,6.6
212,2018.01.30,7.8,0.0,4.8,0.1,4.7
213,2018.01.31,4.1,0.1,7.8,0.0,8.3
214,2018.02.01,7.4,6.9,4.1,0.1,8.7
215,2018.02.02,4.7,7.5,7.4,6.9,2.4
216,2018.02.03,7.6,13.5,4.7,7.5,2.4
217,2018.02.04,6.9,0.0,7.6,13.5,1.9
218,2018.02.05,1.7,0.1,6.9,0.0,0.2
219,2018.02.06,4.2,1.6,1.7,0.1,2.3
220,2018.02.07,5.7,3.6,4.2,1.6,2.8
221,2018.02.08,4.8,7.4,5.7,3.6,1.4
222,2018.02.09,3.6,0.4,4.8,7.4,1.1
223,2018.02.10,2.1,0.6,3.6,0.4,1.8
224,2018.02.11,2.0,0.2,2.1,0.6,3.3
225,2018.02.12,2.0,0.2,2.0,0.2,2.6
226,2018.02.13,5.0,1.1,2.0,0.2,1.7
227,2018.02.14,4.5,2.8,5.0,1.1,2.1
228,2018.02.15,2.0,0.1,4.5,2.8,2.4
229,2018.02.16,2.1,1.0,2.0,0.1,2.0
230,2018.02.17,3.6,2.3,2.1,1.0,3.3
231,2018.02.18,3.2,5.2,3.6,2.3,1.0
232,2018.02.19,3.8,1.6,3.2,5.2,0.9
233,2018.02.20,4.3,8.6,3.8,1.6,1.7
234,2018.02.21,4.5,3.9,4.3,8.6,0.4
235,2018.02.22,6.2,2.3,4.5,3.9,2.0
236,2018.02.23,4.4,0.2,6.2,2.3,-0.1
237,2018.02.24,6.2,1.4,4.4,0.2,-6.6
238,2018.02.25,5.7,0.0,6.2,1.4,-6.1
239,2018.02.26,6.9,0.8,5.7,0.0,-7.2
240,2018.02.27,6.6,1.9,6.9,0.8,-6.5
241,2018.02.28,3.9,0.2,6.6,1.9,-7.4
242,2018.03.01,4.3,0.7,3.9,0.2,-6.3
243,2018.03.02,4.7,2.5,4.3,0.7,-4.4
244,2018.03.03,3.5,0.1,4.7,2.5,-3.6
245,2018.03.04,4.0,0.1,3.5,0.1,-2.4
246,2018.03.05,4.0,0.4,4.0,0.1,1.8
247,2018.03.06,4.7,6.3,4.0,0.4,6.0
248,2018.03.07,2.9,0.2,4.7,6.3,6.4
249,2018.03.08,3.8,1.8,2.9,0.2,9.3
250,2018.03.09,3.5,0.0,3.8,1.8,9.7
251,2018.03.10,5.2,0.5,3.5,0.0,12.3
252,2018.03.11,5.6,3.6,5.2,0.5,13.4
253,2018.03.12,7.2,7.3,5.6,3.6,12.6
254,2018.03.13,5.9,2.9,7.2,7.3,10.9
255,2018.03.14,7.0,0.2,5.9,2.9,10.2
256,2018.03.15,4.4,2.5,7.0,0.2,9.9
257,2018.03.16,6.0,18.6,4.4,2.5,5.8
258,2018.03.17,6.5,1.5,6.0,18.6,-0.4
259,2018.03.18,10.4,13.4,6.5,1.5,0.6
260,2018.03.19,3.6,1.1,10.4,13.4,0.0
261,2018.03.20,5.5,1.6,3.6,1.1,2.8
262,2018.03.21,5.4,0.7,5.5,1.6,2.8
263,2018.03.22,2.2,0.0,5.4,0.7,6.1
264,2018.03.23,2.1,0.0,2.2,0.0,6.3
265,2018.03.24,3.8,0.0,2.1,0.0,7.8
266,2018.03.25,5.7,0.0,3.8,0.0,8.6
267,2018.03.26,2.6,0.0,5.7,0.0,9.3
268,2018.03.27,4.9,0.0,2.6,0.0,10.6
269,2018.03.28,4.1,1.3,4.9,0.0,11.1
270,2018.03.29,4.8,1.8,4.1,1.3,11.9
271,2018.03.30,4.1,5.4,4.8,1.8,14.2
272,2018.03.31,7.1,5.1,4.1,5.4,10.5
273,2018.04.01,9.7,0.2,7.1,5.1,11.2
274,2018.04.02,9.5,0.1,9.7,0.2,15.3
275,2018.04.03,7.3,0.0,9.5,0.1,17.2
276,2018.04.04,7.0,0.0,7.3,0.0,17.7
277,2018.04.05,7.4,0.2,7.0,0.0,14.7
278,2018.04.06,7.8,0.0,7.4,0.2,16.1
279,2018.04.07,4.0,0.1,7.8,0.0,18.8
280,2018.04.08,8.0,0.0,4.0,0.1,21.0
281,2018.04.09,6.3,0.6,8.0,0.0,17.4
282,2018.04.10,6.8,0.0,6.3,0.6,17.1
283,2018.04.11,5.8,0.0,6.8,0.0,22.1
284,2018.04.12,4.8,0.0,5.8,0.0,18.5
285,2018.04.13,4.8,0.6,4.8,0.0,21.2
286,2018.04.14,3.0,0.0,4.8,0.6,22.9
287,2018.04.15,5.2,0.0,3.0,0.0,19.0
288,2018.04.16,5.2,2.3,5.2,0.0,19.9
289,2018.04.17,4.1,4.8,5.2,2.3,20.1
290,2018.04.18,4.3,3.5,4.1,4.8,20.9
291,2018.04.19,5.0,0.0,4.3,3.5,19.8
292,2018.04.20,3.4,0.0,5.0,0.0,19.9
293,2018.04.21,2.8,0.0,3.4,0.0,22.8
294,2018.04.22,2.5,0.0,2.8,0.0,25.3
295,2018.04.23,4.0,0.7,2.5,0.0,22.6
296,2018.04.24,5.3,2.1,4.0,0.7,24.7
297,2018.04.25,5.1,0.1,5.3,2.1,22.5
298,2018.04.26,7.0,1.2,5.1,0.1,18.4
299,2018.04.27,5.9,0.0,7.0,1.2,24.7
300,2018.04.28,4.6,2.3,5.9,0.0,23.3
301,2018.04.29,5.8,9.9,4.6,2.3,23.8
302,2018.04.30,5.1,7.7,5.8,9.9,23.5
303,2018.05.01,3.8,0.6,5.1,7.7,24.6
304,2018.05.02,3.9,8.4,3.8,0.6,24.9
305,2018.05.03,4.6,0.0,3.9,8.4,26.6
306,2018.05.04,4.4,1.2,4.6,0.0,27.6
307,2018.05.05,6.2,0.0,4.4,1.2,23.5
308,2018.05.06,6.3,0.0,6.2,0.0,22.6
309,2018.05.07,6.0,0.0,6.3,0.0,20.7
310,2018.05.08,4.7,0.4,6.0,0.0,23.6
311,2018.05.09,2.7,5.2,4.7,0.4,24.5
312,2018.05.10,4.3,3.3,2.7,5.2,24.9
313,2018.05.11,2.0,1.7,4.3,3.3,23.2
314,2018.05.12,3.6,0.0,2.0,1.7,22.5
315,2018.05.13,5.3,0.1,3.6,0.0,20.0
316,2018.05.14,5.7,0.0,5.3,0.1,18.2
317,2018.05.15,5.2,8.9,5.7,0.0,17.7
318,2018.05.16,6.5,0.8,5.2,8.9,18.2
319,2018.05.17,7.6,1.5,6.5,0.8,22.4
320,2018.05.18,7.1,1.8,7.6,1.5,22.7
321,2018.05.19,3.9,1.4,7.1,1.8,21.9
322,2018.05.20,4.9,0.0,3.9,1.4,22.4
323,2018.05.21,6.1,0.0,4.9,0.0,21.2
324,2018.05.22,4.8,0.6,6.1,0.0,23.0
325,2018.05.23,3.2,1.3,4.8,0.6,25.9
326,2018.05.24,5.7,0.0,3.2,1.3,23.1
327,2018.05.25,4.8,0.0,5.7,0.0,26.2
328,2018.05.26,2.0,0.0,4.8,0.0,25.0
329,2018.05.27,2.1,4.3,2.0,0.0,26.6
330,2018.05.28,3.3,0.0,2.1,4.3,23.8
331,2018.05.29,5.2,0.4,3.3,0.0,25.4
332,2018.05.30,5.4,0.0,5.2,0.4,27.3
333,2018.05.31,3.5,0.0,5.4,0.0,28.4
334,2018.06.01,2.5,0.0,3.5,0.0,26.9
335,2018.06.02,4.0,0.0,2.5,0.0,27.2
336,2018.06.03,5.8,0.0,4.0,0.0,26.4
337,2018.06.04,2.9,2.4,5.8,0.0,26.4
338,2018.06.05,2.1,6.5,2.9,2.4,21.7
339,2018.06.06,6.0,18.7,2.1,6.5,23.4
340,2018.06.07,5.2,0.9,6.0,18.7,24.6
341,2018.06.08,3.0,26.1,5.2,0.9,23.6
342,2018.06.09,3.1,31.0,3.0,26.1,27.8
343,2018.06.10,2.4,0.0,3.1,31.0,28.5
344,2018.06.11,3.4,0.0,2.4,0.0,27.7
345,2018.06.12,4.5,9.0,3.4,0.0,24.9
346,2018.06.13,4.3,1.7,4.5,9.0,20.6
347,2018.06.14,4.5,10.8,4.3,1.7,19.8
348,2018.06.15,5.3,6.2,4.5,10.8,24.1
349,2018.06.16,5.9,0.0,5.3,6.2,25.1
350,2018.06.17,4.3,0.0,5.9,0.0,25.4
351,2018.06.18,5.1,0.3,4.3,0.0,26.7
352,2018.06.19,3.9,2.7,5.1,0.3,27.5
353,2018.06.20,2.5,0.0,3.9,2.7,27.9
354,2018.06.21,3.8,0.6,2.5,0.0,19.0
355,2018.06.22,7.6,6.3,3.8,0.6,19.1
356,2018.06.23,5.1,0.0,7.6,6.3,18.5
357,2018.06.24,5.4,0.0,5.1,0.0,20.8
358,2018.06.25,2.7,0.0,5.4,0.0,21.9
359,2018.06.26,3.0,0.3,2.7,0.0,22.3
360,2018.06.27,6.3,1.3,3.0,0.3,21.9
361,2018.06.28,6.5,11.9,6.3,1.3,25.5
362,2018.06.29,5.2,8.4,6.5,11.9,20.8
363,2018.06.30,7.7,0.0,5.2,8.4,19.2
364,2018.07.01,4.2,0.0,7.7,0.0,21.0
365,2018.07.02,3.6,0.0,4.2,0.0,22.9
366,2018.07.03,3.0,0.0,3.6,0.0,26.2
367,2018.07.04,2.5,0.0,3.0,0.0,27.9
368,2018.07.05,2.9,1.1,2.5,0.0,27.8
369,2018.07.06,3.5,6.3,2.9,1.1,24.7
370,2018.07.07,5.1,10.1,3.5,6.3,23.6
371,2018.07.08,4.8,0.0,5.1,10.1,26.3
372,2018.07.09,3.0,0.3,4.8,0.0,25.4
373,2018.07.10,2.0,0.7,3.0,0.3,22.0
374,2018.07.11,6.0,3.9,2.0,0.7,23.8
375,2018.07.12,4.9,3.0,6.0,3.9,25.1
376,2018.07.13,6.2,0.0,4.9,3.0,25.1
377,2018.07.14,5.5,0.0,6.2,0.0,25.9
378,2018.07.15,4.7,0.0,5.5,0.0,26.2
379,2018.07.16,4.7,0.0,4.7,0.0,26.7
380,2018.07.17,5.5,0.0,4.7,0.0,22.8
381,2018.07.18,10.9,1.3,5.5,0.0,22.5
382,2018.07.19,9.2,3.7,10.9,1.3,25.3
383,2018.07.20,4.8,3.0,9.2,3.7,26.1
384,2018.07.21,2.5,0.0,4.8,3.0,25.8
385,2018.07.22,3.1,21.4,2.5,0.0,24.0
386,2018.07.23,4.5,20.3,3.1,21.4,27.9
387,2018.07.24,4.7,0.0,4.5,20.3,28.1
388,2018.07.25,3.1,0.0,4.7,0.0,27.1
389,2018.07.26,2.1,1.6,3.1,0.0,27.2
390,2018.07.27,3.5,6.3,2.1,1.6,28.3
391,2018.07.28,2.9,2.5,3.5,6.3,30.1
392,2018.07.29,3.6,6.5,2.9,2.5,28.4
393,2018.07.30,3.9,0.9,3.6,6.5,30.3
394,2018.07.31,4.0,1.0,3.9,0.9,30.4
395,2018.08.01,4.4,0.0,4.0,1.0,30.4
396,2018.08.02,2.0,6.7,4.4,0.0,29.2
397,2018.08.03,4.6,0.0,2.0,6.7,28.4
398,2018.08.04,2.6,0.0,4.6,0.0,30.2
399,2018.08.05,2.7,0.0,2.6,0.0,28.9
400,2018.08.06,3.3,0.1,2.7,0.0,29.1
401,2018.08.07,3.4,0.0,3.3,0.1,31.5
402,2018.08.08,3.9,0.0,3.4,0.0,32.4
403,2018.08.09,4.7,0.0,3.9,0.0,33.2
404,2018.08.10,4.6,1.1,4.7,0.0,27.6
405,2018.08.11,5.1,1.0,4.6,1.1,30.1
406,2018.08.12,2.9,0.0,5.1,1.0,32.4
407,2018.08.13,4.8,0.0,2.9,0.0,29.1
408,2018.08.14,5.7,0.0,4.8,0.0,27.2
409,2018.08.15,5.6,0.0,5.7,0.0,27.9
410,2018.08.16,2.8,0.0,5.6,0.0,29.3
411,2018.08.17,3.4,0.0,2.8,0.0,29.7
412,2018.08.18,2.0,0.2,3.4,0.0,31.3
413,2018.08.19,4.0,0.0,2.0,0.2,32.1
414,2018.08.20,3.2,0.1,4.0,0.0,32.3
415,2018.08.21,2.5,0.0,3.2,0.1,32.4
416,2018.08.22,4.0,0.0,2.5,0.0,31.2
417,2018.08.23,3.9,0.9,4.0,0.0,30.3
418,2018.08.24,3.7,2.6,3.9,0.9,24.0
419,2018.08.25,6.8,0.2,3.7,2.6,16.6
420,2018.08.26,6.2,16.8,6.8,0.2,21.2
421,2018.08.27,2.5,0.0,6.2,16.8,25.6
422,2018.08.28,3.9,0.0,2.5,0.0,26.4
423,2018.08.29,3.5,0.0,3.9,0.0,27.5
424,2018.08.30,2.5,0.0,3.5,0.0,27.4
425,2018.08.31,3.4,0.9,2.5,0.0,28.9
426,2018.09.01,3.5,1.8,3.4,0.9,27.4
427,2018.09.02,4.4,2.7,3.5,1.8,22.2
428,2018.09.03,5.2,3.7,4.4,2.7,18.4
429,2018.09.04,2.4,20.5,5.2,3.7,24.3
430,2018.09.05,3.5,0.1,2.4,20.5,22.3
431,2018.09.06,2.1,0.2,3.5,0.1,23.7
432,2018.09.07,2.1,0.0,2.1,0.2,24.4
433,2018.09.08,4.2,0.0,2.1,0.0,23.7
434,2018.09.09,2.5,0.0,4.2,0.0,23.8
435,2018.09.10,2.7,0.0,2.5,0.0,25.1
436,2018.09.11,4.9,0.0,2.7,0.0,26.7
437,2018.09.12,2.1,0.0,4.9,0.0,28.2
438,2018.09.13,2.0,0.0,2.1,0.0,26.0
439,2018.09.14,2.1,0.0,2.0,0.0,25.9
440,2018.09.15,6.1,0.0,2.1,0.0,22.0
441,2018.09.16,3.4,0.0,6.1,0.0,26.8
442,2018.09.17,3.0,0.0,3.4,0.0,25.4
443,2018.09.18,2.3,0.0,3.0,0.0,27.3
444,2018.09.19,3.0,0.0,2.3,0.0,28.0
445,2018.09.20,2.1,0.0,3.0,0.0,28.5
446,2018.09.21,3.9,0.0,2.1,0.0,17.5
447,2018.09.22,9.5,0.3,3.9,0.0,18.3
448,2018.09.23,5.4,0.0,9.5,0.3,18.9
449,2018.09.24,10.1,3.1,5.4,0.0,14.4
450,2018.09.25,6.8,0.0,10.1,3.1,14.1
451,2018.09.26,4.0,0.0,6.8,0.0,18.5
452,2018.09.27,3.8,0.0,4.0,0.0,18.1
453,2018.09.28,3.1,0.0,3.8,0.0,15.1
454,2018.09.29,4.7,0.7,3.1,0.0,15.7
455,2018.09.30,4.4,0.0,4.7,0.7,18.0
456,2018.10.01,4.4,0.2,4.4,0.0,14.3
457,2018.10.02,6.3,0.8,4.4,0.2,16.8
458,2018.10.03,7.4,0.1,6.3,0.8,15.7
459,2018.10.04,4.3,0.0,7.4,0.1,17.1
460,2018.10.05,3.7,0.0,4.3,0.0,20.3
461,2018.10.06,5.1,0.0,3.7,0.0,20.3
462,2018.10.07,4.4,0.0,5.1,0.0,19.6
463,2018.10.08,2.6,0.4,4.4,0.0,22.7
464,2018.10.09,3.1,0.0,2.6,0.4,23.1
465,2018.10.10,2.7,0.0,3.1,0.0,22.3
466,2018.10.11,3.3,0.0,2.7,0.0,21.0
467,2018.10.12,2.9,0.0,3.3,0.0,21.4
468,2018.10.13,2.4,0.0,2.9,0.0,19.5
469,2018.10.14,4.3,0.0,2.4,0.0,19.4
470,2018.10.15,4.8,0.0,4.3,0.0,18.8
471,2018.10.16,4.9,0.0,4.8,0.0,21.2
472,2018.10.17,3.2,0.0,4.9,0.0,21.1
473,2018.10.18,2.0,0.0,3.2,0.0,21.0
474,2018.10.19,2.3,0.0,2.0,0.0,19.6
475,2018.10.20,5.2,0.0,2.3,0.0,10.8
476,2018.10.21,5.3,4.6,5.2,0.0,15.0
477,2018.10.22,3.5,0.3,5.3,4.6,12.7
