,Date,Wind_m/s,Precipitation_mm,Wind_m/s1,Precipitation_mm1,Wind_m/s2,Precipitation_mm2,Wind_m/s3,Precipitation_mm3,Target: Mean_temp
59,2017.09.01,3.8,2.9,3.9,0.0,3.5,0.0,3.0,0.0,19.1
60,2017.09.02,4.8,10.9,3.8,2.9,3.9,0.0,3.5,0.0,17.65
61,2017.09.03,4.8,2.2,4.8,10.9,3.8,2.9,3.9,0.0,15.5
62,2017.09.04,6.7,1.9,4.8,2.2,4.8,10.9,3.8,2.9,15.600000000000001
63,2017.09.05,5.9,0.0,6.7,1.9,4.8,2.2,4.8,10.9,16.3
64,2017.09.06,6.7,2.1,5.9,0.0,6.7,1.9,4.8,2.2,16.05
65,2017.09.07,7.4,0.0,6.7,2.1,5.9,0.0,6.7,1.9,15.049999999999999
66,2017.09.08,3.0,0.0,7.4,0.0,6.7,2.1,5.9,0.0,17.9
67,2017.09.09,4.4,1.0,3.0,0.0,7.4,0.0,6.7,2.1,19.9
68,2017.09.10,5.4,0.0,4.4,1.0,3.0,0.0,7.4,0.0,22.35
69,2017.09.11,4.5,3.4,5.4,0.0,4.4,1.0,3.0,0.0,17.200000000000003
70,2017.09.12,6.6,1.8,4.5,3.4,5.4,0.0,4.4,1.0,17.3
71,2017.09.13,6.6,0.0,6.6,1.8,4.5,3.4,5.4,0.0,17.65
72,2017.09.14,9.8,0.8,6.6,0.0,6.6,1.8,4.5,3.4,14.75
73,2017.09.15,8.2,0.5,9.8,0.8,6.6,0.0,6.6,1.8,16.05
74,2017.09.16,3.6,1.8,8.2,0.5,9.8,0.8,6.6,0.0,13.0
75,2017.09.17,8.2,11.6,3.6,1.8,8.2,0.5,9.8,0.8,13.8
76,2017.09.18,3.4,0.8,8.2,11.6,3.6,1.8,8.2,0.5,13.05
77,2017.09.19,5.3,9.9,3.4,0.8,8.2,11.6,3.6,1.8,14.4
78,2017.09.20,2.7,15.0,5.3,9.9,3.4,0.8,8.2,11.6,13.0
79,2017.09.21,7.5,5.4,2.7,15.0,5.3,9.9,3.4,0.8,13.75
80,2017.09.22,7.0,0.4,7.5,5.4,2.7,15.0,5.3,9.9,11.7
81,2017.09.23,7.7,16.9,7.0,0.4,7.5,5.4,2.7,15.0,12.95
82,2017.09.24,5.8,0.2,7.7,16.9,7.0,0.4,7.5,5.4,13.899999999999999
83,2017.09.25,3.6,0.9,5.8,0.2,7.7,16.9,7.0,0.4,14.35
84,2017.09.26,4.1,0.0,3.6,0.9,5.8,0.2,7.7,16.9,14.399999999999999
85,2017.09.27,4.5,0.0,4.1,0.0,3.6,0.9,5.8,0.2,12.3
86,2017.09.28,3.8,0.0,4.5,0.0,4.1,0.0,3.6,0.9,11.15
87,2017.09.29,2.1,0.0,3.8,0.0,4.5,0.0,4.1,0.0,10.6
88,2017.09.30,2.1,0.0,2.1,0.0,3.8,0.0,4.5,0.0,10.45
89,2017.10.01,2.4,0.0,2.1,0.0,2.1,0.0,3.8,0.0,10.05
90,2017.10.02,5.3,0.0,2.4,0.0,2.1,0.0,2.1,0.0,10.25
91,2017.10.03,4.3,6.1,5.3,0.0,2.4,0.0,2.1,0.0,13.100000000000001
92,2017.10.04,6.9,0.0,4.3,6.1,5.3,0.0,2.4,0.0,15.05
93,2017.10.05,9.9,0.0,6.9,0.0,4.3,6.1,5.3,0.0,12.7
94,2017.10.06,7.7,0.0,9.9,0.0,6.9,0.0,4.3,6.1,11.55
95,2017.10.07,6.4,0.0,7.7,0.0,9.9,0.0,6.9,0.0,10.8
96,2017.10.08,7.6,0.1,6.4,0.0,7.7,0.0,9.9,0.0,11.35
97,2017.10.09,5.4,0.1,7.6,0.1,6.4,0.0,7.7,0.0,12.1
98,2017.10.10,4.5,0.2,5.4,0.1,7.6,0.1,6.4,0.0,14.2
99,2017.10.11,4.5,0.4,4.5,0.2,5.4,0.1,7.6,0.1,14.25
100,2017.10.12,5.0,0.0,4.5,0.4,4.5,0.2,5.4,0.1,14.3
101,2017.10.13,5.4,0.0,5.0,0.0,4.5,0.4,4.5,0.2,13.7
102,2017.10.14,3.1,0.0,5.4,0.0,5.0,0.0,4.5,0.4,14.75
103,2017.10.15,2.8,0.0,3.1,0.0,5.4,0.0,5.0,0.0,15.35
104,2017.10.16,2.0,0.0,2.8,0.0,3.1,0.0,5.4,0.0,15.5
105,2017.10.17,2.9,0.0,2.0,0.0,2.8,0.0,3.1,0.0,15.65
106,2017.10.18,3.0,0.0,2.9,0.0,2.0,0.0,2.8,0.0,13.4
107,2017.10.19,2.0,0.0,3.0,0.0,2.9,0.0,2.0,0.0,13.549999999999999
108,2017.10.20,2.3,0.0,2.0,0.0,3.0,0.0,2.9,0.0,12.299999999999999
109,2017.10.21,2.0,0.0,2.3,0.0,2.0,0.0,3.0,0.0,12.5
110,2017.10.22,4.8,5.8,2.0,0.0,2.3,0.0,2.0,0.0,9.95
111,2017.10.23,7.3,44.8,4.8,5.8,2.0,0.0,2.3,0.0,9.05
112,2017.10.24,6.8,0.0,7.3,44.8,4.8,5.8,2.0,0.0,7.5
113,2017.10.25,3.6,0.2,6.8,0.0,7.3,44.8,4.8,5.8,10.7
114,2017.10.26,3.8,0.0,3.6,0.2,6.8,0.0,7.3,44.8,11.7
115,2017.10.27,8.4,1.3,3.8,0.0,3.6,0.2,6.8,0.0,8.05
116,2017.10.28,8.1,0.2,8.4,1.3,3.8,0.0,3.6,0.2,7.8
117,2017.10.29,14.4,8.5,8.1,0.2,8.4,1.3,3.8,0.0,6.1
118,2017.10.30,9.1,0.1,14.4,8.5,8.1,0.2,8.4,1.3,5.65
119,2017.10.31,6.1,0.0,9.1,0.1,14.4,8.5,8.1,0.2,5.25
120,2017.11.01,4.1,0.0,6.1,0.0,9.1,0.1,14.4,8.5,7.4
121,2017.11.02,5.0,0.0,4.1,0.0,6.1,0.0,9.1,0.1,7.65
122,2017.11.03,5.6,0.1,5.0,0.0,4.1,0.0,6.1,0.0,6.3500000000000005
123,2017.11.04,3.4,0.0,5.6,0.1,5.0,0.0,4.1,0.0,8.3
124,2017.11.05,4.5,0.7,3.4,0.0,5.6,0.1,5.0,0.0,9.25
125,2017.11.06,5.6,0.1,4.5,0.7,3.4,0.0,5.6,0.1,7.05
126,2017.11.07,5.0,1.9,5.6,0.1,4.5,0.7,3.4,0.0,8.3
127,2017.11.08,4.4,1.9,5.0,1.9,5.6,0.1,4.5,0.7,8.4
128,2017.11.09,3.2,2.1,4.4,1.9,5.0,1.9,5.6,0.1,5.85
129,2017.11.10,3.4,0.8,3.2,2.1,4.4,1.9,5.0,1.9,7.55
130,2017.11.11,4.7,0.3,3.4,0.8,3.2,2.1,4.4,1.9,7.0
131,2017.11.12,6.5,5.3,4.7,0.3,3.4,0.8,3.2,2.1,7.1
132,2017.11.13,6.3,13.8,6.5,5.3,4.7,0.3,3.4,0.8,4.95
133,2017.11.14,5.3,3.6,6.3,13.8,6.5,5.3,4.7,0.3,1.3499999999999999
134,2017.11.15,2.9,0.0,5.3,3.6,6.3,13.8,6.5,5.3,3.5500000000000003
135,2017.11.16,2.2,0.0,2.9,0.0,5.3,3.6,6.3,13.8,3.0500000000000003
136,2017.11.17,2.6,0.1,2.2,0.0,2.9,0.0,5.3,3.6,2.65
137,2017.11.18,4.7,5.0,2.6,0.1,2.2,0.0,2.9,0.0,3.0
138,2017.11.19,4.5,0.7,4.7,5.0,2.6,0.1,2.2,0.0,4.050000000000001
139,2017.11.20,6.9,0.5,4.5,0.7,4.7,5.0,2.6,0.1,4.65
140,2017.11.21,7.6,2.0,6.9,0.5,4.5,0.7,4.7,5.0,6.05
141,2017.11.22,4.4,0.6,7.6,2.0,6.9,0.5,4.5,0.7,4.1000000000000005
142,2017.11.23,2.2,0.2,4.4,0.6,7.6,2.0,6.9,0.5,5.1
143,2017.11.24,2.4,0.2,2.2,0.2,4.4,0.6,7.6,2.0,6.95
144,2017.11.25,6.1,0.5,2.4,0.2,2.2,0.2,4.4,0.6,4.3
145,2017.11.26,7.7,8.7,6.1,0.5,2.4,0.2,2.2,0.2,2.35
146,2017.11.27,6.6,0.0,7.7,8.7,6.1,0.5,2.4,0.2,0.7000000000000002
147,2017.11.28,3.4,0.0,6.6,0.0,7.7,8.7,6.1,0.5,0.050000000000000044
148,2017.11.29,5.3,3.2,3.4,0.0,6.6,0.0,7.7,8.7,2.25
149,2017.11.30,7.7,23.5,5.3,3.2,3.4,0.0,6.6,0.0,-0.3999999999999999
150,2017.12.01,3.8,0.0,7.7,23.5,5.3,3.2,3.4,0.0,-3.0
151,2017.12.02,2.8,0.1,3.8,0.0,7.7,23.5,5.3,3.2,-3.4499999999999997
152,2017.12.03,3.8,0.2,2.8,0.1,3.8,0.0,7.7,23.5,-1.1
153,2017.12.04,6.4,0.6,3.8,0.2,2.8,0.1,3.8,0.0,1.15
154,2017.12.05,6.4,0.3,6.4,0.6,3.8,0.2,2.8,0.1,1.5999999999999999
155,2017.12.06,7.4,0.0,6.4,0.3,6.4,0.6,3.8,0.2,1.0
156,2017.12.07,4.6,0.0,7.4,0.0,6.4,0.3,6.4,0.6,2.3499999999999996
157,2017.12.08,8.3,12.0,4.6,0.0,7.4,0.0,6.4,0.3,1.3
158,2017.12.09,8.4,1.0,8.3,12.0,4.6,0.0,7.4,0.0,-0.1499999999999999
159,2017.12.10,9.1,1.2,8.4,1.0,8.3,12.0,4.6,0.0,6.35
160,2017.12.11,8.9,5.9,9.1,1.2,8.4,1.0,8.3,12.0,11.85
161,2017.12.12,8.7,3.8,8.9,5.9,9.1,1.2,8.4,1.0,2.95
162,2017.12.13,5.8,2.0,8.7,3.8,8.9,5.9,9.1,1.2,1.85
163,2017.12.14,5.6,5.5,5.8,2.0,8.7,3.8,8.9,5.9,5.85
164,2017.12.15,7.0,27.6,5.6,5.5,5.8,2.0,8.7,3.8,3.2
165,2017.12.16,4.7,3.8,7.0,27.6,5.6,5.5,5.8,2.0,0.3500000000000001
166,2017.12.17,5.5,0.0,4.7,3.8,7.0,27.6,5.6,5.5,-2.25
167,2017.12.18,2.2,0.2,5.5,0.0,4.7,3.8,7.0,27.6,-3.3
168,2017.12.19,2.1,0.2,2.2,0.2,5.5,0.0,4.7,3.8,-4.8
169,2017.12.20,2.0,0.2,2.1,0.2,2.2,0.2,5.5,0.0,-5.300000000000001
170,2017.12.21,3.6,0.6,2.0,0.2,2.1,0.2,2.2,0.2,0.7999999999999999
171,2017.12.22,5.7,0.0,3.6,0.6,2.0,0.2,2.1,0.2,0.8999999999999999
172,2017.12.23,7.5,0.2,5.7,0.0,3.6,0.6,2.0,0.2,5.3
173,2017.12.24,8.6,0.2,7.5,0.2,5.7,0.0,3.6,0.6,1.8
174,2017.12.25,4.7,0.0,8.6,0.2,7.5,0.2,5.7,0.0,3.8499999999999996
175,2017.12.26,6.7,0.1,4.7,0.0,8.6,0.2,7.5,0.2,4.9
176,2017.12.27,7.2,0.0,6.7,0.1,4.7,0.0,8.6,0.2,4.75
177,2017.12.28,7.5,7.0,7.2,0.0,6.7,0.1,4.7,0.0,0.29999999999999993
178,2017.12.29,9.5,0.4,7.5,7.0,7.2,0.0,6.7,0.1,-1.15
179,2017.12.30,5.3,0.2,9.5,0.4,7.5,7.0,7.2,0.0,2.0500000000000003
180,2017.12.31,5.0,3.9,5.3,0.2,9.5,0.4,7.5,7.0,4.3
181,2018.01.01,5.0,0.3,5.0,3.9,5.3,0.2,9.5,0.4,3.0
182,2018.01.02,7.8,8.7,5.0,0.3,5.0,3.9,5.3,0.2,1.5499999999999998
183,2018.01.03,7.4,6.1,7.8,8.7,5.0,0.3,5.0,3.9,5.25
184,2018.01.04,6.2,0.3,7.4,6.1,7.8,8.7,5.0,0.3,5.75
185,2018.01.05,3.5,1.1,6.2,0.3,7.4,6.1,7.8,8.7,9.45
186,2018.01.06,4.7,0.4,3.5,1.1,6.2,0.3,7.4,6.1,6.8
187,2018.01.07,3.2,0.1,4.7,0.4,3.5,1.1,6.2,0.3,7.0
188,2018.01.08,4.0,0.3,3.2,0.1,4.7,0.4,3.5,1.1,6.050000000000001
189,2018.01.09,5.5,0.0,4.0,0.3,3.2,0.1,4.7,0.4,4.550000000000001
190,2018.01.10,6.3,1.3,5.5,0.0,4.0,0.3,3.2,0.1,4.5
191,2018.01.11,3.0,3.1,6.3,1.3,5.5,0.0,4.0,0.3,3.5999999999999996
192,2018.01.12,3.9,4.0,3.0,3.1,6.3,1.3,5.5,0.0,0.85
193,2018.01.13,7.6,2.6,3.9,4.0,3.0,3.1,6.3,1.3,-2.0
194,2018.01.14,5.0,3.6,7.6,2.6,3.9,4.0,3.0,3.1,-3.8
195,2018.01.15,2.9,0.9,5.0,3.6,7.6,2.6,3.9,4.0,-1.2000000000000002
196,2018.01.16,5.4,2.7,2.9,0.9,5.0,3.6,7.6,2.6,-0.8500000000000001
197,2018.01.17,8.4,0.0,5.4,2.7,2.9,0.9,5.0,3.6,1.25
198,2018.01.18,7.3,0.3,8.4,0.0,5.4,2.7,2.9,0.9,2.15
199,2018.01.19,7.1,1.2,7.3,0.3,8.4,0.0,5.4,2.7,-0.4999999999999998
200,2018.01.20,3.8,0.1,7.1,1.2,7.3,0.3,8.4,0.0,0.0
201,2018.01.21,9.4,6.2,3.8,0.1,7.1,1.2,7.3,0.3,-1.0499999999999998
202,2018.01.22,7.1,0.0,9.4,6.2,3.8,0.1,7.1,1.2,-4.3
203,2018.01.23,2.0,0.7,7.1,0.0,9.4,6.2,3.8,0.1,-7.4
204,2018.01.24,2.8,0.3,2.0,0.7,7.1,0.0,9.4,6.2,-2.25
205,2018.01.25,4.6,1.4,2.8,0.3,2.0,0.7,7.1,0.0,-2.4499999999999997
206,2018.01.26,3.8,0.0,4.6,1.4,2.8,0.3,2.0,0.7,-1.15
207,2018.01.27,3.0,0.1,3.8,0.0,4.6,1.4,2.8,0.3,0.55
208,2018.01.28,3.7,0.1,3.0,0.1,3.8,0.0,4.6,1.4,4.7
209,2018.01.29,4.8,0.1,3.7,0.1,3.0,0.1,3.8,0.0,2.8499999999999996
