,Wind_m/s,Precipitation_mm,Min_temp,Max_temp,Mean_temp,Wind_m/s1,Precipitation_mm1,Min_temp1,Max_temp1,Mean_temp1,Target: Max_temp
351,0.3000275009442704,-0.33548367877846413,1.0355408337892664,0.8453499923176925,0.9405603862156863,-0.11224259641389216,-0.41058793905174995,1.1087941878249332,0.8153869983403965,0.957211600779016,0.9751896328859766
352,-0.31837764509297345,0.2653504034078227,1.169838649521322,0.9751896328859766,1.0737701027223192,0.3000275009442704,-0.33548367877846413,1.0355408337892664,0.8453499923176925,0.9405603862156863,1.0550909501587669
353,-1.039850315469758,-0.41058793905174995,1.304136465253377,1.0550909501587669,1.1792277949567365,-0.31837764509297345,0.2653504034078227,1.169838649521322,0.9751896328859766,1.0737701027223192,1.0950416087951618
354,-0.3699114072627438,-0.26037941850517826,1.267509788235544,1.0950416087951618,1.1847781998111797,-1.039850315469758,-0.41058793905174995,1.304136465253377,1.0550909501587669,1.1792277949567365,0.20613945413537124
355,1.5883715551885287,1.1666015266872527,0.48614067852176757,0.20613945413537124,0.33556625708139715,-0.3699114072627438,-0.26037941850517826,1.267509788235544,1.0950416087951618,1.1847781998111797,0.21612711879447016
356,0.3000275009442704,-0.41058793905174995,0.15650058536126835,0.21612711879447016,0.19125573086587844,1.5883715551885287,1.1666015266872527,0.48614067852176757,0.20613945413537124,0.33556625708139715,0.15620113083987738
357,0.45462878745358176,-0.41058793905174995,0.08324723132560187,0.15620113083987738,0.12465087261256198,0.3000275009442704,-0.41058793905174995,0.15650058536126835,0.21612711879447016,0.19125573086587844,0.3859174179991492
358,-0.9367827911302172,-0.41058793905174995,0.08324723132560187,0.3859174179991492,0.25231018426475177,0.45462878745358176,-0.41058793905174995,0.08324723132560187,0.15620113083987738,0.12465087261256198,0.49578172924923547
359,-0.7821815046209064,-0.33548367877846413,0.2297539393969348,0.49578172924923547,0.3799694959169412,-0.9367827911302172,-0.41058793905174995,0.08324723132560187,0.3859174179991492,0.25231018426475177,0.5357323878856308
360,0.9184326469815145,-0.08513614453417796,0.43730510916465676,0.5357323878856308,0.49652799786024476,-0.7821815046209064,-0.33548367877846413,0.2297539393969348,0.49578172924923547,0.3799694959169412,0.49578172924923547
361,1.0215001713210552,2.568547718455255,0.7425274176466006,0.49578172924923547,0.6130864998035483,0.9184326469815145,-0.08513614453417796,0.43730510916465676,0.5357323878856308,0.49652799786024476,0.8553376569767914
362,0.351561263114041,1.6923313486002538,1.0355408337892664,0.8553376569767914,0.9461107910701297,1.0215001713210552,2.568547718455255,0.7425274176466006,0.49578172924923547,0.6130864998035483,0.3859174179991492
363,1.6399053173582994,-0.41058793905174995,0.5349762478788787,0.3859174179991492,0.4576751638791434,0.351561263114041,1.6923313486002538,1.0355408337892664,0.8553376569767914,0.9461107910701297,0.22611478345356872
364,-0.16377635858366232,-0.41058793905174995,0.43730510916465676,0.22611478345356872,0.32446544737251093,1.6399053173582994,-0.41058793905174995,0.5349762478788787,0.3859174179991492,0.4576751638791434,0.4058927473173467
365,-0.4729789316022843,-0.41058793905174995,-0.01442390738862024,0.4058927473173467,0.21900775513809354,-0.16377635858366232,-0.41058793905174995,0.43730510916465676,0.22611478345356872,0.32446544737251093,0.5956583758402232
366,-0.7821815046209064,-0.41058793905174995,0.2175450470576571,0.5956583758402232,0.4299231396069283,-0.4729789316022843,-0.41058793905174995,-0.01442390738862024,0.4058927473173467,0.21900775513809354,0.9252513095904827
367,-1.039850315469758,-0.41058793905174995,0.27858950875404587,0.9252513095904827,0.6408385240757635,-0.7821815046209064,-0.41058793905174995,0.2175450470576571,0.5956583758402232,0.4299231396069283,1.0950416087951618
368,-0.8337152667906768,-0.13520565138303517,0.6326473865931007,1.0950416087951618,0.8961571473801422,-1.039850315469758,-0.41058793905174995,0.27858950875404587,0.9252513095904827,0.6408385240757635,1.0850539441360632
369,-0.5245126937720547,1.1666015266872527,0.8890341257179335,1.0850539441360632,1.0071652444690027,-0.8337152667906768,-0.13520565138303517,0.6326473865931007,1.0950416087951618,0.8961571473801422,0.7754363397040012
