Nap,Tmax  [°C],Tmin  [°C],Wind (m/s),Csapadék 	[mm]
2017.10.27péntek,14.6,8.8,8.4,1.3
2017.10.28szombat,10.0,6.1,8.1,0.2
2017.10.29vasárnap,10.2,5.4,14.4,8.5
2017.10.30hétfő,8.0,4.2,9.1,0.1
2017.10.31kedd,8.4,2.9,6.1,0.0
2017.11.01szerda,10.0,0.5,4.1,0.0
2017.11.02csütörtök,11.6,3.2,5.0,0.0
2017.11.03péntek,11.4,3.9,5.6,0.1
2017.11.04szombat,11.4,1.3,3.4,0.0
2017.11.05vasárnap,11.7,4.9,4.5,0.7
2017.11.06hétfő,12.7,5.8,5.6,0.1
2017.11.07kedd,11.2,2.9,5.0,1.9
2017.11.08szerda,10.4,6.2,4.4,1.9
2017.11.09csütörtök,9.8,7.0,3.2,2.1
2017.11.10péntek,8.6,3.1,3.4,0.8
2017.11.11szombat,10.5,4.6,4.7,0.3
2017.11.12vasárnap,9.7,4.3,6.5,5.3
2017.11.13hétfő,9.1,5.1,6.3,13.8
2017.11.14kedd,7.2,2.7,5.3,3.6
2017.11.15szerda,5.8,-3.1,2.9,0.0
2017.11.16csütörtök,6.4,0.7,2.2,0.0
2017.11.17péntek,6.2,-0.1,2.6,0.1
2017.11.18szombat,5.3,-0.0,4.7,5.0
2017.11.19vasárnap,6.1,-0.1,4.5,0.7
2017.11.20hétfő,5.9,2.2,6.9,0.5
2017.11.21kedd,7.8,1.5,7.6,2.0
2017.11.22szerda,9.1,3.0,4.4,0.6
2017.11.23csütörtök,8.4,-0.2,2.2,0.2
2017.11.24péntek,7.8,2.4,2.4,0.2
2017.11.25szombat,8.8,5.1,6.1,0.5
2017.11.26vasárnap,6.3,2.3,7.7,8.7
2017.11.27hétfő,5.0,-0.3,6.6,0.0
2017.11.28kedd,4.4,-3.0,3.4,0.0
2017.11.29szerda,2.1,-2.0,5.3,3.2
2017.11.30csütörtök,3.7,0.8,7.7,23.5
2017.12.01péntek,3.1,-3.9,3.8,0.0
2017.12.02szombat,-0.1,-5.9,2.8,0.1
2017.12.03vasárnap,-1.3,-5.6,3.8,0.2
2017.12.04hétfő,1.5,-3.7,6.4,0.6
2017.12.05kedd,2.8,-0.5,6.4,0.3
2017.12.06szerda,3.3,-0.1,7.4,0.0
2017.12.07csütörtök,4.7,-2.7,4.6,0.0
2017.12.08péntek,7.6,-2.9,8.3,12.0
2017.12.09szombat,2.5,0.1,8.4,1.0
2017.12.10vasárnap,2.5,-2.8,9.1,1.2
2017.12.11hétfő,10.4,2.3,8.9,5.9
2017.12.12kedd,13.7,10.0,8.7,3.8
2017.12.13szerda,5.0,0.9,5.8,2.0
2017.12.14csütörtök,5.5,-1.8,5.6,5.5
2017.12.15péntek,8.7,3.0,7.0,27.6
2017.12.16szombat,5.5,0.9,4.7,3.8
2017.12.17vasárnap,3.0,-2.3,5.5,0.0
2017.12.18hétfő,0.6,-5.1,2.2,0.2
2017.12.19kedd,-1.0,-5.6,2.1,0.2
2017.12.20szerda,-2.4,-7.2,2.0,0.2
2017.12.21csütörtök,-1.8,-8.8,3.6,0.6
2017.12.22péntek,3.4,-1.8,5.7,0.0
2017.12.23szombat,2.9,-1.1,7.5,0.2
2017.12.24vasárnap,7.7,2.9,8.6,0.2
2017.12.25hétfő,6.2,-2.6,4.7,0.0
2017.12.26kedd,8.2,-0.5,6.7,0.1
2017.12.27szerda,8.0,1.8,7.2,0.0
2017.12.28csütörtök,7.3,2.2,7.5,7.0
2017.12.29péntek,2.4,-1.8,9.5,0.4
2017.12.30szombat,2.0,-4.3,5.3,0.2
2017.12.31vasárnap,4.4,-0.3,5.0,3.9
2018.01.01hétfő,7.0,1.6,5.0,0.3
2018.01.02kedd,4.8,1.2,7.8,8.7
2018.01.03szerda,4.1,-1.0,7.4,6.1
2018.01.04csütörtök,7.7,2.8,6.2,0.3
2018.01.05péntek,8.6,2.9,3.5,1.1
2018.01.06szombat,12.5,6.4,4.7,0.4
2018.01.07vasárnap,9.6,4.0,3.2,0.1
2018.01.08hétfő,8.3,5.7,4.0,0.3
2018.01.09kedd,7.4,4.7,5.5,0.0
2018.01.10szerda,5.4,3.7,6.3,1.3
2018.01.11csütörtök,6.2,2.8,3.0,3.1
2018.01.12péntek,4.6,2.6,3.9,4.0
2018.01.13szombat,2.4,-0.7,7.6,2.6
2018.01.14vasárnap,-0.6,-3.4,5.0,3.6
2018.01.15hétfő,-2.4,-5.2,2.9,0.9
2018.01.16kedd,1.3,-3.7,5.4,2.7
2018.01.17szerda,3.0,-4.7,8.4,0.0
2018.01.18csütörtök,3.5,-1.0,7.3,0.3
2018.01.19péntek,4.6,-0.3,7.1,1.2
2018.01.20szombat,3.1,-4.1,3.8,0.1
2018.01.21vasárnap,2.2,-2.2,9.4,6.2
2018.01.22hétfő,1.3,-3.4,7.1,0.0
2018.01.23kedd,-0.7,-7.9,2.0,0.7
2018.01.24szerda,-2.3,-12.5,2.8,0.3
2018.01.25csütörtök,1.4,-5.9,4.6,1.4
2018.01.26péntek,0.2,-5.1,3.8,0.0
2018.01.27szombat,2.0,-4.3,3.0,0.1
2018.01.28vasárnap,3.9,-2.8,3.7,0.1
2018.01.29hétfő,8.5,0.9,4.8,0.1
2018.01.30kedd,6.6,-0.9,7.8,0.0
2018.01.31szerda,4.7,-2.2,4.1,0.1
2018.02.01csütörtök,8.3,3.8,7.4,6.9
2018.02.02péntek,8.7,4.0,4.7,7.5
2018.02.03szombat,2.4,0.2,7.6,13.5
2018.02.04vasárnap,2.4,-1.9,6.9,0.0
2018.02.05hétfő,1.9,-4.4,1.7,0.1
2018.02.06kedd,0.2,-2.0,4.2,1.6
2018.02.07szerda,2.3,-3.3,5.7,3.6
2018.02.08csütörtök,2.8,0.1,4.8,7.4
2018.02.09péntek,1.4,-2.8,3.6,0.4
2018.02.10szombat,1.1,-2.2,2.1,0.6
2018.02.11vasárnap,1.8,-4.7,2.0,0.2
2018.02.12hétfő,3.3,-3.5,2.0,0.2
2018.02.13kedd,2.6,-2.0,5.0,1.1
2018.02.14szerda,1.7,-1.0,4.5,2.8
2018.02.15csütörtök,2.1,-4.6,2.0,0.1
2018.02.16péntek,2.4,-7.0,2.1,1.0
2018.02.17szombat,2.0,-2.6,3.6,2.3
2018.02.18vasárnap,3.3,-4.3,3.2,5.2
2018.02.19hétfő,1.0,-9.3,3.8,1.6
2018.02.20kedd,0.9,-1.6,4.3,8.6
2018.02.21szerda,1.7,-0.9,4.5,3.9
2018.02.22csütörtök,0.4,-3.0,6.2,2.3
2018.02.23péntek,2.0,-3.5,4.4,0.2
2018.02.24szombat,-0.1,-9.3,6.2,1.4
2018.02.25vasárnap,-6.6,-11.9,5.7,0.0
2018.02.26hétfő,-6.1,-11.3,6.9,0.8
2018.02.27kedd,-7.2,-9.7,6.6,1.9
2018.02.28szerda,-6.5,-13.1,3.9,0.2
2018.03.01csütörtök,-7.4,-12.9,4.3,0.7
2018.03.02péntek,-6.3,-9.9,4.7,2.5
2018.03.03szombat,-4.4,-13.5,3.5,0.1
2018.03.04vasárnap,-3.6,-16.6,4.0,0.1
2018.03.05hétfő,-2.4,-17.4,4.0,0.4
2018.03.06kedd,1.8,-2.0,4.7,6.3
2018.03.07szerda,6.0,-2.6,2.9,0.2
2018.03.08csütörtök,6.4,-2.8,3.8,1.8
2018.03.09péntek,9.3,-2.0,3.5,0.0
2018.03.10szombat,9.7,1.3,5.2,0.5
2018.03.11vasárnap,12.3,4.9,5.6,3.6
2018.03.12hétfő,13.4,9.4,7.2,7.3
2018.03.13kedd,12.6,6.1,5.9,2.9
2018.03.14szerda,10.9,5.3,7.0,0.2
2018.03.15csütörtök,10.2,4.4,4.4,2.5
2018.03.16péntek,9.9,6.2,6.0,18.6
2018.03.17szombat,5.8,0.6,6.5,1.5
2018.03.18vasárnap,-0.4,-4.7,10.4,13.4
2018.03.19hétfő,0.6,-6.5,3.6,1.1
2018.03.20kedd,0.0,-4.1,5.5,1.6
2018.03.21szerda,2.8,-3.5,5.4,0.7
2018.03.22csütörtök,2.8,-7.8,2.2,0.0
2018.03.23péntek,6.1,-6.1,2.1,0.0
2018.03.24szombat,6.3,-3.5,3.8,0.0
2018.03.25vasárnap,7.8,-3.6,5.7,0.0
2018.03.26hétfő,8.6,-2.1,2.6,0.0
2018.03.27kedd,9.3,1.9,4.9,0.0
2018.03.28szerda,10.6,-0.7,4.1,1.3
2018.03.29csütörtök,11.1,3.2,4.8,1.8
