,model,daynum,feature,target,error
74,"RandomForestRegressor(max_depth=15, n_estimators=150)",0,wind_rainfeatures,Max_temp,-0.8935035846450228
75,"RandomForestRegressor(max_depth=15, n_estimators=150)",0,allfeatures,Min_temp,-0.19624685705717818
76,"RandomForestRegressor(max_depth=15, n_estimators=150)",0,onlytempfeatures,Min_temp,-0.215359679241213
77,"RandomForestRegressor(max_depth=15, n_estimators=150)",0,wind_rainfeatures,Min_temp,-0.8867882289440159
78,"RandomForestRegressor(max_depth=15, n_estimators=150)",0,allfeatures,Mean_temp,-0.18860702409426627
79,"RandomForestRegressor(max_depth=15, n_estimators=150)",0,onlytempfeatures,Mean_temp,-0.20305769451531167
80,"RandomForestRegressor(max_depth=15, n_estimators=150)",0,wind_rainfeatures,Mean_temp,-0.8910558259869749
81,"RandomForestRegressor(max_depth=15, n_estimators=150)",1,allfeatures,Max_temp,-0.21272766224408163
82,"RandomForestRegressor(max_depth=15, n_estimators=150)",1,onlytempfeatures,Max_temp,-0.2216982229882721
83,"RandomForestRegressor(max_depth=15, n_estimators=150)",1,wind_rainfeatures,Max_temp,-0.8720429735571844
84,"RandomForestRegressor(max_depth=15, n_estimators=150)",1,allfeatures,Min_temp,-0.1848980422612545
85,"RandomForestRegressor(max_depth=15, n_estimators=150)",1,onlytempfeatures,Min_temp,-0.19588265529563076
86,"RandomForestRegressor(max_depth=15, n_estimators=150)",1,wind_rainfeatures,Min_temp,-0.8567704035686573
87,"RandomForestRegressor(max_depth=15, n_estimators=150)",1,allfeatures,Mean_temp,-0.18080608114323002
88,"RandomForestRegressor(max_depth=15, n_estimators=150)",1,onlytempfeatures,Mean_temp,-0.1888216747270845
89,"RandomForestRegressor(max_depth=15, n_estimators=150)",1,wind_rainfeatures,Mean_temp,-0.8639407778627337
90,"RandomForestRegressor(max_depth=15, n_estimators=150)",2,allfeatures,Max_temp,-0.213991760989584
91,"RandomForestRegressor(max_depth=15, n_estimators=150)",2,onlytempfeatures,Max_temp,-0.2213952266496248
92,"RandomForestRegressor(max_depth=15, n_estimators=150)",2,wind_rainfeatures,Max_temp,-0.8545164952221569
93,"RandomForestRegressor(max_depth=15, n_estimators=150)",2,allfeatures,Min_temp,-0.18394236334935987
94,"RandomForestRegressor(max_depth=15, n_estimators=150)",2,onlytempfeatures,Min_temp,-0.19186198856826625
95,"RandomForestRegressor(max_depth=15, n_estimators=150)",2,wind_rainfeatures,Min_temp,-0.8406633475954554
96,"RandomForestRegressor(max_depth=15, n_estimators=150)",2,allfeatures,Mean_temp,-0.17791607045294597
97,"RandomForestRegressor(max_depth=15, n_estimators=150)",2,onlytempfeatures,Mean_temp,-0.1867658608121315
98,"RandomForestRegressor(max_depth=15, n_estimators=150)",2,wind_rainfeatures,Mean_temp,-0.8482497683995571
99,"RandomForestRegressor(max_depth=15, n_estimators=150)",3,allfeatures,Max_temp,-0.21275354061241
100,"RandomForestRegressor(max_depth=15, n_estimators=150)",3,onlytempfeatures,Max_temp,-0.22184983556329385
101,"RandomForestRegressor(max_depth=15, n_estimators=150)",3,wind_rainfeatures,Max_temp,-0.8374167587205725
102,"RandomForestRegressor(max_depth=15, n_estimators=150)",3,allfeatures,Min_temp,-0.18344134872137172
103,"RandomForestRegressor(max_depth=15, n_estimators=150)",3,onlytempfeatures,Min_temp,-0.18898443789876238
104,"RandomForestRegressor(max_depth=15, n_estimators=150)",3,wind_rainfeatures,Min_temp,-0.8236765445825179
105,"RandomForestRegressor(max_depth=15, n_estimators=150)",3,allfeatures,Mean_temp,-0.17939999715390473
106,"RandomForestRegressor(max_depth=15, n_estimators=150)",3,onlytempfeatures,Mean_temp,-0.18747712092806962
107,"RandomForestRegressor(max_depth=15, n_estimators=150)",3,wind_rainfeatures,Mean_temp,-0.8319670889897391
108,"RandomForestRegressor(max_depth=15, n_estimators=150)",4,allfeatures,Max_temp,-0.20949120937405658
109,"RandomForestRegressor(max_depth=15, n_estimators=150)",4,onlytempfeatures,Max_temp,-0.21668635555618732
110,"RandomForestRegressor(max_depth=15, n_estimators=150)",4,wind_rainfeatures,Max_temp,-0.8264020554927811
111,"RandomForestRegressor(max_depth=15, n_estimators=150)",4,allfeatures,Min_temp,-0.18355727224132126
112,"RandomForestRegressor(max_depth=15, n_estimators=150)",4,onlytempfeatures,Min_temp,-0.18790906291113135
113,"RandomForestRegressor(max_depth=15, n_estimators=150)",4,wind_rainfeatures,Min_temp,-0.8120234783894196
114,"RandomForestRegressor(max_depth=15, n_estimators=150)",4,allfeatures,Mean_temp,-0.17782765942118597
115,"RandomForestRegressor(max_depth=15, n_estimators=150)",4,onlytempfeatures,Mean_temp,-0.1857612986697817
116,"RandomForestRegressor(max_depth=15, n_estimators=150)",4,wind_rainfeatures,Mean_temp,-0.8209297610908568
117,"RandomForestRegressor(max_depth=15, n_estimators=150)",5,allfeatures,Max_temp,-0.2098894628144933
118,"RandomForestRegressor(max_depth=15, n_estimators=150)",5,onlytempfeatures,Max_temp,-0.21768894415840934
119,"RandomForestRegressor(max_depth=15, n_estimators=150)",5,wind_rainfeatures,Max_temp,-0.8187373528109401
120,"RandomForestRegressor(max_depth=15, n_estimators=150)",5,allfeatures,Min_temp,-0.182419610363534
121,"RandomForestRegressor(max_depth=15, n_estimators=150)",5,onlytempfeatures,Min_temp,-0.18774749153034156
122,"RandomForestRegressor(max_depth=15, n_estimators=150)",5,wind_rainfeatures,Min_temp,-0.8081160350037265
123,"RandomForestRegressor(max_depth=15, n_estimators=150)",5,allfeatures,Mean_temp,-0.17691656869109204
124,"RandomForestRegressor(max_depth=15, n_estimators=150)",5,onlytempfeatures,Mean_temp,-0.18522738442712783
125,"RandomForestRegressor(max_depth=15, n_estimators=150)",5,wind_rainfeatures,Mean_temp,-0.8141857550225536
126,"RandomForestRegressor(max_depth=15, n_estimators=150)",6,allfeatures,Max_temp,-0.2073506123447058
127,"RandomForestRegressor(max_depth=15, n_estimators=150)",6,onlytempfeatures,Max_temp,-0.2171310576419477
128,"RandomForestRegressor(max_depth=15, n_estimators=150)",6,wind_rainfeatures,Max_temp,-0.8093130551546434
129,"RandomForestRegressor(max_depth=15, n_estimators=150)",6,allfeatures,Min_temp,-0.1829476170036587
130,"RandomForestRegressor(max_depth=15, n_estimators=150)",6,onlytempfeatures,Min_temp,-0.1875048468507557
131,"RandomForestRegressor(max_depth=15, n_estimators=150)",6,wind_rainfeatures,Min_temp,-0.8005563154039782
132,"RandomForestRegressor(max_depth=15, n_estimators=150)",6,allfeatures,Mean_temp,-0.17560665293301747
133,"RandomForestRegressor(max_depth=15, n_estimators=150)",6,onlytempfeatures,Mean_temp,-0.18478711674977105
134,"RandomForestRegressor(max_depth=15, n_estimators=150)",6,wind_rainfeatures,Mean_temp,-0.8052817277148236
135,"RandomForestRegressor(max_depth=15, n_estimators=150)",7,allfeatures,Max_temp,-0.2069196817248804
136,"RandomForestRegressor(max_depth=15, n_estimators=150)",7,onlytempfeatures,Max_temp,-0.21620767052083414
137,"RandomForestRegressor(max_depth=15, n_estimators=150)",7,wind_rainfeatures,Max_temp,-0.8025204114280523
138,"RandomForestRegressor(max_depth=15, n_estimators=150)",7,allfeatures,Min_temp,-0.18514363913351647
139,"RandomForestRegressor(max_depth=15, n_estimators=150)",7,onlytempfeatures,Min_temp,-0.18884023009584516
140,"RandomForestRegressor(max_depth=15, n_estimators=150)",7,wind_rainfeatures,Min_temp,-0.7935986076612255
141,"RandomForestRegressor(max_depth=15, n_estimators=150)",7,allfeatures,Mean_temp,-0.176586560773123
142,"RandomForestRegressor(max_depth=15, n_estimators=150)",7,onlytempfeatures,Mean_temp,-0.1841972961047436
143,"RandomForestRegressor(max_depth=15, n_estimators=150)",7,wind_rainfeatures,Mean_temp,-0.7975284308521463
144,"MLPRegressor(max_iter=1500, solver='sgd')",0,allfeatures,Max_temp,-0.2275640990185473
145,"MLPRegressor(max_iter=1500, solver='sgd')",0,onlytempfeatures,Max_temp,-0.2280226428670257
146,"MLPRegressor(max_iter=1500, solver='sgd')",0,wind_rainfeatures,Max_temp,-0.8634225749782051
147,"MLPRegressor(max_iter=1500, solver='sgd')",0,allfeatures,Min_temp,-0.19138815331583986
148,"MLPRegressor(max_iter=1500, solver='sgd')",0,onlytempfeatures,Min_temp,-0.19489166854834503
149,"MLPRegressor(max_iter=1500, solver='sgd')",0,wind_rainfeatures,Min_temp,-0.8534383920022147
150,"MLPRegressor(max_iter=1500, solver='sgd')",0,allfeatures,Mean_temp,-0.18311628163887977
151,"MLPRegressor(max_iter=1500, solver='sgd')",0,onlytempfeatures,Mean_temp,-0.1860099746279248
152,"MLPRegressor(max_iter=1500, solver='sgd')",0,wind_rainfeatures,Mean_temp,-0.8607580924884646
153,"MLPRegressor(max_iter=1500, solver='sgd')",1,allfeatures,Max_temp,-0.22490475104130386
154,"MLPRegressor(max_iter=1500, solver='sgd')",1,onlytempfeatures,Max_temp,-0.23201856440234575
155,"MLPRegressor(max_iter=1500, solver='sgd')",1,wind_rainfeatures,Max_temp,-0.8517764264702874
156,"MLPRegressor(max_iter=1500, solver='sgd')",1,allfeatures,Min_temp,-0.19971914419203377
157,"MLPRegressor(max_iter=1500, solver='sgd')",1,onlytempfeatures,Min_temp,-0.2058266058663718
158,"MLPRegressor(max_iter=1500, solver='sgd')",1,wind_rainfeatures,Min_temp,-0.840090099688328
159,"MLPRegressor(max_iter=1500, solver='sgd')",1,allfeatures,Mean_temp,-0.18803696532142938
160,"MLPRegressor(max_iter=1500, solver='sgd')",1,onlytempfeatures,Mean_temp,-0.19500716443239802
161,"MLPRegressor(max_iter=1500, solver='sgd')",1,wind_rainfeatures,Mean_temp,-0.8507886444480854
162,"MLPRegressor(max_iter=1500, solver='sgd')",2,allfeatures,Max_temp,-0.22355060589612447
163,"MLPRegressor(max_iter=1500, solver='sgd')",2,onlytempfeatures,Max_temp,-0.22539721534547721
164,"MLPRegressor(max_iter=1500, solver='sgd')",2,wind_rainfeatures,Max_temp,-0.8456271287758275
165,"MLPRegressor(max_iter=1500, solver='sgd')",2,allfeatures,Min_temp,-0.1993487936188441
166,"MLPRegressor(max_iter=1500, solver='sgd')",2,onlytempfeatures,Min_temp,-0.19582087151167368
167,"MLPRegressor(max_iter=1500, solver='sgd')",2,wind_rainfeatures,Min_temp,-0.8377219109858268
168,"MLPRegressor(max_iter=1500, solver='sgd')",2,allfeatures,Mean_temp,-0.18730972160431789
169,"MLPRegressor(max_iter=1500, solver='sgd')",2,onlytempfeatures,Mean_temp,-0.19000070762621163
170,"MLPRegressor(max_iter=1500, solver='sgd')",2,wind_rainfeatures,Mean_temp,-0.841256008679992
171,"MLPRegressor(max_iter=1500, solver='sgd')",3,allfeatures,Max_temp,-0.22879939042820033
172,"MLPRegressor(max_iter=1500, solver='sgd')",3,onlytempfeatures,Max_temp,-0.22425492401746108
173,"MLPRegressor(max_iter=1500, solver='sgd')",3,wind_rainfeatures,Max_temp,-0.8339958987677104
174,"MLPRegressor(max_iter=1500, solver='sgd')",3,allfeatures,Min_temp,-0.2006949304067545
175,"MLPRegressor(max_iter=1500, solver='sgd')",3,onlytempfeatures,Min_temp,-0.19739703134143208
176,"MLPRegressor(max_iter=1500, solver='sgd')",3,wind_rainfeatures,Min_temp,-0.8258389833716153
177,"MLPRegressor(max_iter=1500, solver='sgd')",3,allfeatures,Mean_temp,-0.19491210131473805
178,"MLPRegressor(max_iter=1500, solver='sgd')",3,onlytempfeatures,Mean_temp,-0.1911148946054507
179,"MLPRegressor(max_iter=1500, solver='sgd')",3,wind_rainfeatures,Mean_temp,-0.8337803007892782
180,"MLPRegressor(max_iter=1500, solver='sgd')",4,allfeatures,Max_temp,-0.2298544955079575
181,"MLPRegressor(max_iter=1500, solver='sgd')",4,onlytempfeatures,Max_temp,-0.22379383229415134
182,"MLPRegressor(max_iter=1500, solver='sgd')",4,wind_rainfeatures,Max_temp,-0.8311681337187871
183,"MLPRegressor(max_iter=1500, solver='sgd')",4,allfeatures,Min_temp,-0.20348683984270127
184,"MLPRegressor(max_iter=1500, solver='sgd')",4,onlytempfeatures,Min_temp,-0.19766517352145385
